Question,A,B,C,D,Descripton A,Descripton B,Descripton C,Descripton D,Answer
Which of the following is a PROPER use of the school’s share from canteen proceeds?,Vendor incentives,Cooperative dividends,Supplementary feeding program,Private business expansion,Vendors are not beneficiaries.,Cooperative uses its own share.,Feeding programs are authorized.,Not allowed.,C
Why must canteen personnel observe proper sanitation and hygiene?,To prevent food-borne illnesses ,To comply with marketing standards,To attract more customers,To reduce food costs,Hygiene prevents illness. ,Marketing standards are not the issue.,Customer attraction is secondary.,Cost reduction is not the reason.,A
What percentage of net income is allocated to the school clinic fund?,20%,10%,15%,5%,20% is not a specified allocation.,10% goes to the instructional fund.,15% goes to faculty and student development.,5% is allocated to the school clinic fund. ,D
The Double Burden of Malnutrition (DBM) is defined by the WHO as: ,Having both a cold and a nutritional deficiency at the same time. ,A situation where a person eats two meals instead of three. ,The coexistence of undernutrition alongside overweight and obesity in the same population. ,Only occurring in developed countries with high income. ,"DBM describes nutritional status, not infectious diseases. ","DBM refers to body health outcomes, not meal frequency. ",This is the official definition provided in the policy’s rationale. ,DBM is highly prevalent in developing countries like the Philippines.,C
Free sugars include all of the following EXCEPT: ,Monosaccharides added by the manufacturer. ,Sugars naturally present in honey and syrups. ,Disaccharides added by the consumer. ,"Sugars naturally present in whole, fresh fruits. ",Added monosaccharides are categorized as free sugars. ,Honey and syrups are sources of free sugars. ,Table sugar added by a person is a free sugar. ,Sugars naturally occurring in intact fruit are not “free sugars.”,D
"Which type of fat is considered “better” and is found in fish, nuts, and seeds? ",Unsaturated fat ,Saturated fat ,Trans fat ,Hydrogenated fat ,Unsaturated fats are the healthier fats promoted in the policy. ,Saturated fats should be limited as they are linked to health risks. ,Trans fats are harmful and should be avoided entirely. ,This refers to the process that creates unhealthy trans fats.,A
What is the Low sodium threshold for a food product? ,50 mg per 100g ,300 mg per 100g ,120 mg per 100g ,500 mg per 100g ,This is lower than the official Philippine threshold. ,"300mg is the equivalent salt weight, not sodium. ",120mg per 100g (0.12g) is the official low sodium limit. ,500mg is too high for a low sodium claim.,C
"To whom does DepEd Order No. 13, s. 2017 Policy and Guidelines apply? ",Public elementary schools only. ,"All public schools, learning centers, and DepEd offices. ",Public secondary schools only. ,Private schools only. ,It extends beyond elementary schools. ,"It covers all public schools, learning centers, and administrative offices. ",It is not limited to secondary schools. ,Private schools are encouraged but not mandated by this specific order,B
"What are the visual cues for the food guide mentioned in DepEd Order No. 13, s. 2017? ",Food Pyramid ,Pinggang Pinoy ,"Go, Grow, Glow ",MyPlate ,The Pyramid is an older model replaced by the plate. ,Pinggang Pinoy is the current Filipino plate-based visual guide. ,"These are the food groups, not the visual plate guide itself. ",MyPlate is the American version of the guide.,B
"In the YELLOW category, how often should these foods be served? ",Every day ,Three times a week ,Once a month ,Once or twice a week only ,They are not meant for daily consumption,The guideline specifically limits it to twice a week. ,They can be served more than once a month. ,"The policy suggests serving these twice weekly, like on Tuesdays/Thursdays.",D
"Under DepEd Order No. 8, s. 2007, when is a secondary school laboratory canteen required to serve as the school-managed canteen?",Only when there is no existing duly registered teachers' cooperative in the school.,When the school is located in a rural area with limited access to food suppliers.,"Regardless of enrolment size, as long as the school head approves it.","When the student population is less than one thousand five hundred (1,500). ","While the absence of a cooperative affects canteen management in elementary schools, secondary school laboratory canteens are determined based on student population.",The distinction between rural and urban management applies to elementary schools rather than to secondary school laboratory canteens.,"The guidelines specify a particular enrolment threshold (1,500 students) rather than making it an open decision regardless of size.","The policy states that if the student population is less than 1,500, the laboratory canteen shall also be the school-managed canteen. ",D
Students frequently complain about long queues in the canteen; what is the correct management response?,Close the canteen for a week,Adjust operations and improve service efficiency while following school policies,Ignore the complaints because the canteen is making profit,Increase prices to reduce the number of students buying,Closing the canteen is unnecessary if proper improvements are made.,Efficient and organized operations should be observed while complying with established policies.,Ignoring complaints violates proper management principles.,Price increases without approval are not allowed.,B
How much of the net income is allocated for school operations?,25%,15%,10%,35%,25% of net income is for school operations.,15% is for faculty and student development.,10% is for the instructional fund.,35% is for the feeding program.,A
Which food choice best supports healthy eating habits?,Sugary snacks,Fast food,Fruits and vegetables,Energy drinks,High sugar content is unhealthy.,Fast food is discouraged.,Fruits and vegetables provide essential nutrients.,Energy drinks are prohibited in canteens.,C
The gross margin of a canteen refers to the difference between:,Total income and tax,Capital and profit,Income and expenses,Sales and cost of goods sold ,Tax is not considered in gross margin.,Capital vs. profit is unrelated to gross margin.,"This is net income, not gross margin.",Gross margin = Sales – Cost of goods sold. ,D
Which statement best describes a school canteen?,A profit-oriented enterprise,A private commercial outlet,A support facility for learner nutrition,A vendor-controlled business,Profit is secondary.,It is not a private outlet.,It exists to support nutrition and health.,Vendors do not control policies.,C
Why should food prices in school canteens be affordable?,To maximize profit,To compete with outside vendors,To ensure learners’ access to nutritious food,To attract visitors,Profit is secondary.,Competition is not the main concern.,Affordability ensures learners can access nutritious food.,Visitor attraction is not relevant.,C
Which official has the primary responsibility for supervising school canteen operations?,PTA President,School Head,Barangay Captain,Canteen Vendor,PTA only assists.,The school head supervises the canteen.,Barangay officials have no authority.,Vendors only operate the canteen.,B
"A cooperative earned a gross margin of ?12,000. How much should be remitted to the school using the standard sharing?","?2,000","?12,000","?9,600","?2,400",That is below 20%.,Total gross margin.,That is the cooperative’s share.,"20% of ?12,000 = ?2,400. ",D
Sub-leasing of stalls in school canteens is:,Allowed with PTA approval,Allowed if profitable,Prohibited under the guidelines,Allowed during school events,PTA approval does not authorize sub-leasing.,Profitability is not a criterion.,Sub-leasing is prohibited.,Not allowed even for events.,C
"Who signed DepEd Order No. 8, s. 2007?",Raul S. Roco,"Armin A. Luistro, FSC",Jesli A. Lapus,Leonor Magtolis Briones,He was a former Secretary but not the signatory.,He signed later DepEd orders.,"Jesli A. Lapus, Secretary of Education, signed the order.",She served in a later administration.,C
Transparency in canteen financial records ensures:,Increased competition,Increased vendor income,Improved advertising,Accountability ,Competition is not the purpose.,Vendor income is secondary.,Advertising is irrelevant.,Transparency ensures accountability to the school. ,D
"What is the primary title of DepEd Order No. 13, s. 2017? ",National School Feeding Program Guidelines ,Policy and Guidelines on Healthy Food and Beverage Choices in Schools and in DepEd Offices ,Policy and Guidelines on Healthy Food and Beverage Choices in Schools and in DepEd Offices ,Nutrition Standards for Public Schools ,"This title refers to general feeding programs, not the specific choices policy. ",This is the exact official title as stated in the Department Order. ,This refers to an older 2007 order that this policy modifies. ,This is a general description and not the legal title of the issuance.,B
"Which of the following is NOT a specific objective of DepEd Order No. 13, s. 2017? ",To mandate the use of imported organic ingredients in all school meals. ,To provide guidance in the selling and marketing of foods. ,To introduce a system of categorizing foods based on geographical and cultural orientations. ,To make healthier food choices available to learners and personnel. ,"The policy focuses on “locally available” foods, not a mandate for imported organic items. ",Providing marketing guidance is a primary objective. ,Categorization based on culture and geography is a listed objective. ,Making healthier choices available is the core goal.,A
Which health survey showed that 29.1% of children aged 5-10 were underweight in the Philippines? ,7th National Health Survey ,WHO Global Nutrition Report 2017 ,8th National Nutrition Survey (2014) ,DepEd Annual Health Review ,The policy specifically references the 8th survey. ,"While WHO data is mentioned, the 29.1% figure is national data. ",The DOST-FNRI 8th National Nutrition Survey is the source cited. ,This is not the name of the official survey used for the data.,C
"Which term describes a condition where energy ingested equals energy used, resulting in stable weight? ",Energy balance ,Caloric surplus ,Metabolic rate ,Nutrient density ,Energy balance occurs when intake equals expenditure. ,A surplus leads to weight gain because intake exceeds use. ,"This refers to the speed of energy use, not the balance. ",This refers to how many nutrients are in a food relative to its calories.,A
Which category of food should ALWAYS be available in the canteen? ,Yellow ,Red ,Orange ,Green ,Yellow foods are restricted to twice a week. ,Red foods are not recommended for sale at all. ,Orange is not a color category in this policy. ,Green category foods must always be available.,D
Which of the following is NOT a prescribed allocation from canteen net income?,School feeding program,Faculty and student development,Principal’s discretionary fund,Revolving capital,This is included (35%).,This is included (15%).,No discretionary fund for principal is mentioned in the order.,Revolving capital is included (10%).,C
"When managing the net income from a school-managed canteen, what principle should guide how the funds are allocated?",Transparency and proper allocation,Free use by the canteen operator,Deposit all income to the bank,Use only for teacher events,The main principle is transparent and proper allocation according to specified percentages.,Canteen operators cannot freely use the funds.,Depositing all income without allocation violates the order.,Teacher events are not part of the allocation.,A
A teacher accidentally used part of the canteen income for personal supplies. What should be done?,Allow the teacher to continue using the funds for personal needs,Require the teacher to return the money and follow proper accounting procedures,Deposit all remaining funds into the principal’s personal account,Close the canteen immediately and stop operations,Canteen income cannot be used for personal needs.,Proper management and accountability must be observed in handling canteen funds.,Funds should never go to a personal account.,Closing the canteen is not required if proper corrective action is taken.,B
A canteen manager wants to change the menu without consulting the principal or PTA; what should the manager do?,Only serve snacks and ignore meals,Charge higher prices without informing anyone,Implement the changes immediately,Consult the principal and PTA before making changes,"Menu changes must be approved, not ignored.",Charging without approval is against policy.,Unilateral decisions violate the management rules.,Canteen-related decisions should be made in coordination with school authorities.,D
"According to DepEd guidelines, how should iodized salt be used in preparing food in school canteens?",It should not be used at all and be replaced with monosodium glutamate,It should be used in controlled quantity to help meet the iodine requirement of the clientele,It should be added in large amounts to make food more flavorful,It should be sold separately as an optional ingredient for students,"The policy actually calls for the use of iodized salt, not its replacement. ",Iodized salt must be used in controlled quantity so that students’ iodine needs are met and iodine deficiency disorders are prevented. ,"The guideline specifies controlled quantity, not large amounts of iodized salt. ","The focus is on using iodized salt in food preparation, not selling it separately.",B
A canteen displays menu prices clearly. This promotes:,Marketing,Transparency,Competition,Vendor control,Marketing is not the focus.,Clear prices ensure transparency.,Competition is irrelevant inside school.,Vendors do not gain control through posting prices.,B
Who may assist the school head in monitoring canteen operations?,Vendors,PTA,Barangay officials,Students only,Vendors do not supervise compliance.,PTA assists the school head in monitoring.,Barangay officials have no formal role.,,B
Which of these is a Glow food in the GREEN category? ,Fresh fruits in season ,Canned fruit in heavy syrup ,Pickled vegetables with extra salt ,Dried fruits with added sugar ,"Fresh, seasonal fruits are the best Green glow foods. ",Heavy syrup moves fruit to the Red category. ,Extra salt moves vegetables to the Red category. ,Added sugar moves dried fruit toward Yellow or Red.,A
What should canteen personnel practice regarding salt? ,Adding extra salt for flavor. ,Gradual reduction of salt. ,Using only sea salt without limits. ,Removing all salt immediately in one day. ,The policy seeks to lower sodium intake. ,Gradual reduction helps consumers adjust to healthier tastes. ,All salt must be limited regardless of type. ,"The policy emphasizes a “gradual” approach.
",B
Saturated fat is primarily found in:,Plant oils like sunflower oil. ,Green leafy vegetables. ,Fruits,Animal food products. ,Most plant oils are unsaturated.,Vegetables are naturally low in fat. ,Fruits are naturally low in fat. ,"Animal products like fatty meat and butter are main sources.
",D
What is the equivalent amount of salt for 120mg of sodium? ,300 mg ,100 mg ,500 mg ,1 gram ,120mg of sodium is roughly 300mg of salt. ,This is less than the sodium itself. ,This is too high for the conversion. ,1 gram of salt has about 400mg of sodium.,A
Artificial trans fats are created through which process? ,Boiling water. ,Freezing meat. ,Adding hydrogen to liquid vegetable oils. ,Squeezing fruit. ,"Boiling is a thermal process, not chemical hydrogenation. ",Freezing does not change fat structure to trans fat. ,Hydrogenation turns liquid oils into solid trans fats. ,Squeezing is mechanical extraction.,C
Which category should be less prominent in the canteen menu? ,Green ,Yellow ,Red ,All of them ,Green should be most prominent. ,Yellow foods should be less prominent and served carefully. ,Red foods should not be on the menu at all. ,Categories have different levels of visibility.,B
One teaspoon of fat is equal to how many grams? ,2 grams ,10 grams ,15 grams ,4 grams ,This is too light. ,This is more than a teaspoon. ,This is approximately a tablespoon. ,1 teaspoon of fat is equal to 4 grams.,D
A canteen refuses to sell junk food despite high demand. This demonstrates:,Compliance with DepEd policy ,Poor customer service,Loss of income,Weak management,"Following guidelines, the canteen prioritizes health. ","Compliance, not service quality, is the focus.",Income is secondary to policy compliance.,Management is following proper procedures.,A
A school uses canteen proceeds for feeding undernourished learners. This practice is:,Allowed ,Discouraged,Prohibited,Optional only,The order allows school share to fund feeding programs. ,Not discouraged.,Feeding is encouraged.,"It is authorized, not merely optional.
",A
Which of the following is the purpose of the 15% allocation from the canteen’s net income?,Revolving capital,Faculty and student development,School clinic fund,Supplementary feeding program,10% is for revolving capital.,15% is for faculty and student development.,5% is for the school clinic fund.,35% goes to the feeding program.,B
What are the regulations governing the management of school canteens by private entities?,Private concessionaires may operate for a maximum of one year.,Management can be outsourced to the Local Government Unit (LGU). ,Private entities can manage the canteen if the school lacks a home economics teacher.,Only the school or a registered teachers’ cooperative may operate and manage the canteen.,There is no provision allowing temporary management by private concessionaires.,"While LGUs are partners, they are not authorized managers of the school canteen under this Order.",The lack of a specific teacher does not allow for a violation of the management structure guidelines.,The guidelines restrict management exclusively to the school itself or a duly registered teachers’ cooperative. ,D
"Based on DepED guidelines, why must all canteen staff undergo yearly physical exams and obtain a Health Certificate?",To comply with the business permit requirements of the Department of Trade and Industry (DTI).,To ensure that food handlers are in good health and will not act as carriers of communicable diseases.,To document the blood type of all employees in case of workplace emergencies or accidents.,To verify that the canteen staff are Filipino citizens entitled to work in public schools.,"While business permits are important, school canteens follow DepEd and Department of Health (DOH) guidelines rather than DTI retail requirements for this specific health mandate.",All canteen personnel are required to undergo an annual physical examination to prevent the spread of diseases and ensure that food is handled only by healthy individuals.,"While medical records are helpful, the primary regulatory reason for the health certificate is the prevention of disease transmission to the student body.",Citizenship verification is a human resources/hiring process and is not the purpose of a medical health certificate or physical exam.,B
"Which term describes a condition where energy ingested equals energy used, resulting in stable weight? ",Energy balance ,Caloric surplus ,Metabolic rate ,Nutrient density ,Energy balance occurs when intake equals expenditure. ,A surplus leads to weight gain because intake exceeds use. ,"This refers to the speed of energy use, not the balance. ","This refers to how many nutrients are in a food relative to its calories.
",A
"According to the WHO, what is the recommended daily intake for free sugars for additional health benefits? ",Less than 15% of total energy. ,Less than 10% of total energy. ,Less than 5% of total energy. ,0% of total energy. ,This is above the recommended health limit. ,10% is the standard limit; 5% is for additional benefits. ,The 5% threshold is the WHO recommendation for extra health. ,"While low is better, the guideline is not 0%.",C
What is the recommended range for daily sodium intake per the 2015 PDRI? ,100 – 300 mg ,500 – 800 mg ,1000 – 2000 mg ,At least 2 grams ,This is below the physiological requirement. ,The PDRI recommends a range of 500mg to 800mg. ,This exceeds the specific PDRI recommendation in the order. ,"2 grams is the salt limit, not the sodium range.",B
"For the GREEN category, saturated fat must be less than how many grams per serving? ",3 grams ,1 gram ,5 grams , 10 grams ,Less than 3 grams of saturated fat is the Green limit. ,"While 1g is within the limit, the threshold is 3g. ",5g is the boundary for the Red category. ,This is extremely high fat content.,A
The canteen teacher’s supervision of the laboratory canteen cannot exceed:,6 hours per day,3 hours per day,8 hours per day,1 hour per week,Too long.,Supervision limited to 3 hours/day.,Too long.,Too short.,B
"In secondary schools with more than 1,500 students, an additional canteen may be:",A snack shop,A food court,Cooperative-managed in addition to the lab canteen,Closed for safety,Not recognized.,Not recognized.,Cooperative-managed canteen can be added.,Not required. ,C
"If a rural elementary school has 501 pupils, the canteen should be:",School-managed only,Teacher’s cooperative-managed if qualified,Closed for food safety,Sold to outside vendors,Cooperative may operate if qualified,Eligible for cooperative management. ,No closure stated.,Outside vendors are prohibited. ,B
"In elementary schools in rural areas with 500 pupils or fewer, the canteen must be:",Cooperative-managed,Teacher concession,Closed,School-managed ,Cooperative allowed only above threshold.,Not authorized.,Not required. ,School-managed if enrollment ? 500. ,D
"According to DepEd Order No. 8, s. 2007, what is the main purpose of allocating 35% of the canteen’s net income?",For school maintenance,For the supplementary feeding program,For teacher incentives,For student clubs,Maintenance is covered under a separate allocation (25%).,35% is specifically allotted for the supplementary feeding program.,Teacher incentives are not included in the guideline.,Student clubs are not specified in the allocation.,B
What is the percentage allocated for the instructional fund?,10%,35%,25%,5%,10% is for the instructional fund. ,35% is for the feeding program.,25% is for school operations.,5% is for the school clinic fund.,A
How is the 10% allocation for revolving capital intended to be used?,To purchase food and supplies for the canteen,To fund school events,To give bonuses to teachers,To build new classrooms,"Revolving capital is used for canteen operations, such as purchasing stock.",School events are not part of revolving capital.,Teacher bonuses are not included.,Building classrooms is outside canteen income allocation.,A
Why are fortified foods encouraged in school canteens?,They support nutritional needs ,They are profitable,They are trendy,They are easy to cook,Fortified foods provide essential nutrients.,Profit is not the main concern.,Trendiness is irrelevant. ,Ease of preparation is secondary.,A
The school head’s role in canteen operation is primarily:,Selling food,Supervisory and regulatory,Managing cooperative funds,Preparing food,Selling is the vendor’s role.,School head supervises compliance and policy.,Funds are managed by the cooperative.,Preparation is the vendor’s responsibility.,B
Why is the school considered the primary beneficiary of canteen proceeds?,It owns the cooperative,It supports learners’ welfare,It controls vendors,It manages businesses,Ownership is not required.,"Funds are used for feeding, learning materials, and programs.",Vendor control is not the reason.,Management of business is not the purpose.,B
"For special schools with more than 500 students, a cooperative may:",Shut down the canteen,Require students to fund operations,Sub-lease the premises,Operate another canteen besides the lab canteen ,Not sanctioned.,Not allowed. ,Sub-leasing prohibited.,Cooperative may manage another canteen. ,D
"In secondary schools, all schools must have which type of canteen?",Exclusive school-managed canteen,Teachers’ concession,Laboratory canteen,Vending machine area,Not required universally.,Cooperative optional.,All secondary schools must have a laboratory canteen.,Not part of policy. ,C
Why is it important to set aside specific portions of the net income for designated purposes?,To ensure funds are properly used for school programs,To reward teachers with bonuses,To allow principal discretion to use funds freely,To deposit all income into the general fund,"Specific allocations guarantee that programs like feeding, development, and maintenance are funded.",Teacher bonuses are not included.,Principal cannot freely allocate; guidelines must be followed.,General fund deposit without allocation is not allowed.,A
What are the regulations governing the management of school canteens by private entities?,Private concessionaires may operate for a maximum of one year.,Management can be outsourced to the Local Government Unit (LGU). ,Private entities can manage the canteen if the school lacks a home economics teacher.,Only the school or a registered teachers’ cooperative may operate and manage the canteen.,There is no provision allowing temporary management by private concessionaires.,"While LGUs are partners, they are not authorized managers of the school canteen under this Order.",The lack of a specific teacher does not allow for a violation of the management structure guidelines.,The guidelines restrict management exclusively to the school itself or a duly registered teachers’ cooperative. ,D
Who must approve the healthy menu developed by each school? ,The Schools Division Superintendent (SDS) ,The School Principal ,The Parents-Teachers Association (PTA) ,The Department of Health (DOH) ,The SDS has the authority to approve school menus. ,"The principal manages the school, but the SDS provides formal approval. ",They are consulted but do not provide the final policy approval. ,"DOH sets national standards, but DepEd approvals stay within DepEd.",A
A food product is automatically classified as RED if it contains: ,Any amount of dietary fiber. ,More than 120mg of sodium. ,Any amount of trans fat. ,Exactly 10 grams of sugar. ,Fiber is a healthy ingredient. ,120mg-200mg is Yellow; Red starts at over 200mg. ,Any presence of trans fat automatically makes a food Red. ,10g of sugar is the cut-off for the Green category.,C
What is the cut-off for Added Sugar in the GREEN category? ,Less than 5 grams ,10 – 20 grams ,More than 20 grams ,Less than 10 grams ,10g is the formal category limit. ,This is the Yellow category range. ,This is the Red category range. ,Green foods must have less than 10g of added sugar per serving.,D
"If a food product has one nutrient that falls under the RED category, what happens? ",It can still be sold if other nutrients are Green. ,It should not be sold in school canteens. ,It can only be sold on Fridays. ,It requires a special permit from the SDS. ,One Red nutrient disqualifies the whole product. ,"If any nutrient hits the Red threshold, the item is prohibited for sale. ",Red foods are not recommended for sale on any day. ,No permit allows the sale of Red foods in the canteen.,B
Which of the following is an example of a GREEN category drink? ,Fresh Buko Water  ,Soft drinks ,Flavored water ,Energy drinks ,"Unsweetened buko water is a natural, Green-listed beverage. ",Soft drinks are high in sugar and are Red. ,Flavored waters often have high sugar (Yellow/Red). ,Energy drinks are classified as Red.,A
"In the RED category, Added Sugar or Total Carbohydrates is more than: ",10 grams ,20 grams ,15 grams ,30 grams ,10g is the Green/Yellow boundary. ,More than 20g of sugar/carbs per serving is the Red threshold. ,This is not the category cut-off point. ,The threshold starts lower at 20g.,B
Sodium content for the YELLOW category is between: ,50 – 100 mg ,200 – 500 mg ,500 – 1000 mg ,120 – 200 mg ,Below 120mg is the Green category. ,Above 200mg is the Red category. ,This is extremely high for any category except Red. ,120mg to 200mg per serving is the Yellow sodium range.,D
Saturated fat between 3 to 5 grams per serving places a food in which category? ,Green ,Red ,Yellow ,Blue,Green is less than 3g. ,Red is more than 5g. ,3g to 5g is the Yellow range for saturated fat. ,There is no Blue category.,C
Which Grow food is in the GREEN list? ,Boiled Egg ,Processed Nuggets ,Hotdog ,Fried Bacon ,"Eggs are a natural, Green-listed grow food. ",Nuggets are processed and usually Red. ,Hotdogs are high in salt and fat (Red). ,Bacon is high in saturated fat and salt (Red).,A
Which snack is considered GREEN when boiled? ,Doughnuts ,Chips ,Biscuits ,Sweet potato ,Doughnuts have trans fats and sugar (Red). ,Chips are high in sodium (Red). ,Most biscuits have trans fats (Red). ,Boiled sweet potato is a nutrient-rich Green snack.,D
"When was the DepED Order No.13, s. 2017 signed? ","January 1, 2017 ","March 14, 2017 ","June 12, 2017 ","December 25, 2017 ",This is the beginning of the year. ,"The document was signed by Sec. Briones on March 14, 2017. ",This is Independence Day. ,This is Christmas Day.,B
The term Calorie refers to: ,A type of vitamin. ,The weight of the food. ,A measure of energy in food. ,A harmful chemical. ,Vitamins are distinct from calories. ,Weight is measured in grams. ,A calorie is the unit used to measure the energy in food. ,Calories are necessary for survival.,C
Which of these snacks is in the GREEN category? ,Fried banana cue with heavy sugar ,Banana chips with syrup ,Boiled Saging na saba ,Banana-flavored soda ,Frying and sugar move it to Yellow or Red. ,Syrup and fat move it out of Green. ,Boiled saba is a natural Green energy food. ,Sodas are Red.,C
Which of the following is a Grow food in the GREEN category? ,Sweetened yogurt ,Fatty pork ,Fried chicken with skin ,Small fishes ,Added sugar moves yogurt to Yellow/Red. ,High saturated fat makes it Red. ,Saturated fat and frying make it Yellow/Red. ,Small fish like dilis are Green.,D
Consumption of RED foods outside school premises is at the discretion of: ,The Teacher ,The Parents ,The Principal ,The SDS ,Teachers manage school-based food. ,Parents decide what children eat outside school hours. ,Principal authority stops at the school gate. ,"SDS manages division policy, not home choices.",B
Which of the following is NOT a listed Green category “Go” food? ,Instant Cup Noodles ,Oatmeal ,Whole wheat bread ,Cassava ,Instant noodles are Red due to sodium. ,Oatmeal is Green,Whole wheat bread is Green. ,Cassava is Green.,A
What does the policy recommend for those with sedentary lifestyles? ,Eat more sugar for energy. ,Avoid all fats. ,Increase physical activity/exercise. ,Eat only one meal a day. ,Sugar is harmful for low activity levels. ,Essential fats are still needed,Exercise is a vital partner to healthy nutrition. ,Extreme dieting is not the recommended health path.,C
