QUESTIONS,A,B,C,D,DESCRIPTION A,DESCRIPTION B,DESCRIPTION C,DESCRIPTION D,ANSWER
"23. When members of a community combine their labor to grow crops together, which concept is being demonstrated? ",Individualism,Resource Sharing,Wasteful Consumption,Poor Planning,Option A is incorrect because the activity is not individualistic.,The correct answer is B because combining labor demonstrates resource sharing. ,Option C is incorrect because resources are used productively.,Option D is incorrect because cooperation shows good planning.,B
"24. When a household reuses jars for storing food or other items, which practice are they demonstrating? ",Planned Obsolescene ,Sustainable Resource Use,Consumer Manipulation,High Income,Option A is incorrect because planned obsolescence encourages disposal.,The correct answer is B because reusing jars promotes sustainable resource use. ,Option C is incorrect because consumer manipulation is not involved.,Option D is incorrect because income level is irrelevant.,B
"25. When a family assigns chores to each member to complete tasks more efficiently, which management principle are they applying? ",Marketing,Evaluating,Organizing,Advertising,Option A is incorrect because marketing involves selling. ,Option B is incorrect because evaluation reviews results. ,The correct answer is C because assigning chores involves organizing tasks and responsibilities. ,Option D is incorrect because advertising is unrelated.,C
26. Checking environmental impact shows application of:,Store loyalty,Celebrity influence,Value systems,Price checking,Option A is incorrect because loyalty is unrelated.,Option B is incorrect because celebrities are irrelevant.,The correct answer is C because environmental concern reflects values.,Option D is incorrect because impact is not price-based.,C
27. Why is it essential for a household to set goals?,To avoid planning,To guide resource use toward a purpose,To spend randomly ,To increase waste,Option A is incorrect because goals support planning.,The correct answer is B because setting goals guides resource use toward a purpose. ,Option C is incorrect because goals prevent random spending. ,Option D is incorrect because goals reduce waste.,B
"28. When a household reviews utility bills each month and charges their usage to manage costs, which management functions are being demonstrated? ",Evaluating and Controlling,Marketing Strategies,Impulse Consumption,Ignoring Finances,The correct answer is A because reviewing bills evaluates usage and adjusting behavior controls expenses.,Option B is incorrect because marketing is unrelated. ,Option C is incorrect because impulse consumption is avoided. ,Option D is incorrect because finances are actively managed.,A
"29. If a family doesn’t have much money and has many things to pay for, how should they plan their spending?",Decides randomly,Prioritize urgent needs first,Spend mostly on wants,Ignore savings,Option A is incorrect because random decisions cause misuse of funds.,The correct answer is B because prioritizing urgent needs ensures essential expenses are met. ,Option C is incorrect because focusing on wants is irresponsible. ,Option D is incorrect because savings should not be ignored.,B
"30. A girl has 1,000 pesos and plans to spend it on groceries, medicine, and savings according to his priorities. What does this demonstrate? ",Impulse buying ,Listing wants only,Effective resource allocation ,Ignoring needs,Option A is incorrect because spending is planned.,Option B is incorrect because needs are considered.,The correct answer is C because allocating money according to priorities shows effective resource allocation. ,Option D is incorrect because needs are not ignored.,C
31. A major difference between “Family” and “Household” is that a household ________? ,Requires blood relations.,Focuses on economic activities. ,"It exists only in urban areas. 
",Excludes decision-making.,Option A is incorrect because blood relations are not required. ,The correct answer is B because a household focuses on shared economic activities. ,Option C is incorrect because households exist in all areas.,Option D is incorrect because decision-making is essential in households.,B
32. Including “Time” as a resource highlights the importance of? ,Delaying decisions ,Productivity and Prioritization,Leisure activities,External Support,Option A is incorrect because delaying decisions wastes time. ,The correct answer is B because time as a resource emphasizes productivity and prioritization. ,Option C is incorrect because leisure is not the main focus. ,Option D is incorrect because external support is unrelated to time management.,B
33. Highest priority when ranking product features:,"Color of the product
",Advertisement strength,Price alone,Personal need,Option A is incorrect because aesthetics are secondary.,Option B is incorrect because ads persuade.,"Option C is incorrect because price alone is insufficient.
",The correct answer is D because needs should guide all purchasing decisions.,D
34. Why is understanding consumer needs essential before making a purchase?, It increases impulse buying,It helps consumers match products with priorities,It encourages trend-following,It focuses on brand popularity,Option A is incorrect because impulse buying ignores needs.,The correct answer is B because identifying needs ensures purchases are relevant and necessary.,Option C is incorrect because trends may not reflect necessity.,Option D is incorrect because popularity does not guarantee usefulness.,D
35. Which action best shows application of consumer rights?,Accepting defective products,Ignoring product warranties,Requesting a replacement for faulty goods,Buying without proof of purchase,Option A is incorrect because it tolerates unfair practices.,Option B is incorrect because warranties safeguard consumers.,The correct answer is C because asserting the right to redress protects consumers.,"Option D is incorrect because buying without proof of purchase undermines a consumer’s ability to claim refunds, repairs, or replacements, making it difficult to exercise the right to redress.",C
36. Consumer education helps prevent exploitation mainly by:,"Teaching blind trust
",Increasing product demand,Raising awareness and critical thinking,Promoting expensive brands,Option A is incorrect because blind trust increases risk.,Option B is incorrect because demand is not the goal.,The correct answer is C because awareness and critical thinking protect consumers from unfair practices.,Option D is incorrect because price does not equal protection.,C
"37. Which rationale best explains why home management must integrate planning, implementation, and evaluation?",To shorten household task duration.,To ensure family needs are met effectively. ,To eliminate conflict within the family. ,To assign work based on age only.,Option A is incorrect because it ignores the quality and appropriateness of outcomes.,The correct answer is B because home management is a cycle of decision-making to use resources for fulfilling needs.,Option C is incorrect because it is a possible outcome but not the main purpose of home management.,Option D is incorrect because it oversimplifies work distribution and ignores ability and need.,B
38. Which quality of a home manager most helps in resolving conflicts among family members?,Creativity,Understanding human nature,Perseverance,Physical Strength,Option A is incorrect because it can help with environment design but does not address interpersonal resolution.,The correct answer is B because understanding diverse personality types supports conflict resolution.,Option C is incorrect because it helps persistence but does not necessarily foster insightful empathy.,Option D is incorrect because it is irrelevant to relational conflicts.,B
"39. When a family emphasizes learning and personal growth over wealth and luxury, which need level are they focusing on according to Maslow?","Esteem Needs
",Physiological Needs,Self - Actualization,Safety Needs,The correct answer is A because esteem needs include recognition through achievements like educatio,"Option B (Physiological Needs) is incorrect because these are foundational survival needs such as food, water, and shelter.",Option C (Self-Actualization) is incorrect because it goes beyond esteem into personal fulfillment and realizing one’s full potential.,"Option D (Safety Needs) is incorrect because these are also foundational survival needs focused on protection and security, not recognition or achievement.",A
40. Which situation reflects responsible decision-making?,Buying during panic sales,Comparing alternatives before purchase,Choosing based on peer pressure,Purchasing without planning,Option A is incorrect because panic undermines judgment.,The correct answer is B because evaluation of options leads to informed decisions.,Option C is incorrect because pressure limits independence.,Option D is incorrect because planning is essential.,A
41. Why is budgeting emphasized in consumer education?,To encourage luxury spending,To restrict consumer freedom,To manage limited financial resources,To increase consumption,Option A is incorrect because budgeting promotes moderation.,Option B is incorrect because budgeting empowers choice.,The correct answer is C because budgeting helps control and allocate scarce resources.,"Option D is incorrect because spending is regulated, not increased.",C
"42. When tasks are delegated according to a person’s skills instead of their gender, which principle is being applied?",Random decision-making,Traditional roles,Efficient resource utilization,Social Norms,Option A (Random decision-making) is incorrect because it may reinforce bias and result in inefficiency.,Option B (Traditional roles) is incorrect because relying solely on traditional roles may reinforce bias and does not guarantee tasks match skills.,"The correct answer is C. Efficient resource utilization because aligning tasks with skills ensures that resources, including time and abilities, are used effectively to achieve household goals.","Option D (Social Norms) is incorrect because following social norms lacks intentionality and may ignore individual abilities, reducing efficiency.",C
43. Which management principle is demonstrated when a family postpones a non-essential purchase to save money for emergencies?,Priority setting,Impulse Spending,Social Conformity,Resource waste,"The correct answer is A. Priority Setting because it means allocating limited resources to needs first, ensuring effective home management and financial planning.",Option B (Impulse Spending) is incorrect because it opposes planned savings and thoughtful allocation of resources.,Option C (Social Conformity) is incorrect because it isn’t directly relevant to resource allocation or meeting needs.,Option D (Resource Waste) is incorrect because it contradicts the principles of savings and efficient resource management.,A
44. Why is adaptability important for a home manager?,To avoid family decisions,To enforce one routine consistently ,To cope with life changes and challenges,To maintain emotional detachment,Option A (To avoid family decisions) is incorrect because it resists change rather than managing it.,Option B (To enforce one routine consistently) is incorrect because enforcing a single routine limits flexibility and adaptability,The correct answer is C. To cope with life changes and challenges because adaptability helps families adjust to dynamic conditions and manage transitions effectively.,Option D (To maintain emotional detachment) is incorrect because it devalues involvement and undermines healthy family adjustment.,C
45. Through which means do family members primarily learn social manners and cultural customs?,Television programs,Schools only ,Family interaction and guidance,Random social events,Option A is incorrect because it represents secondary influences rather than the foundational role of family.,Option B is incorrect because it plays a supportive role but is not the main transmitter of culture.,The correct answer is C. Family Interaction and Guidance because the family is the primary agent in passing cultural norms to the next generation.,Option D is incorrect because it is also a secondary influence and does not replace the family’s primary role.,C
46. Which behavior shows ethical consumption?,Ignoring environmental impact,Choosing sustainable products,Buying in excess,Prioritizing convenience only,Option A is incorrect because awareness is required.,The correct answer is B because ethical consumers consider environmental and social effects.,Option C is incorrect because excess wastes resources.,Option D is incorrect because ethics require balance.,B
47. Consumer education is interdisciplinary because it:,Focuses only on economics,Avoids social issues,Integrates knowledge from different fields,Is limited to financial literacy,Option A is incorrect because it is broader than economics.,Option B is incorrect because social responsibility is included.,"The correct answer is C because it combines economics, law, psychology, and ethics",Option D is incorrect because finance is only one component.,C
"48. When a home manager anticipates budget shortages and develops alternative plans, which management principle is being applied?",Creative Planning,Avoidance of Responsibility,Reactionary Behavior,Financial Negligence,The correct answer is A. Creative Planning because anticipating budget shortages and developing alternative plans demonstrates proactive and innovative problem-solving in home management.,Option B (Avoidance of Responsibility) is incorrect because it implies neglecting duties rather than addressing them thoughtfully.,Option C (Reactionary Behavior) is incorrect because reacting only after problems occur does not show foresight or plannin,Option D (Financial Negligence) is incorrect because anticipating budget shortages and preparing alternative plans reflects responsible financial management rather than careless or improper handling of resources.,A
49. Which family type typically involves both nuclear members and extended kin in daily life?,Single Person,Nuclear Family ,Extended Family,Blended Family,Option A is incorrect because it has a limited scope of relational composition.,Option B is incorrect because it does not account for the full diversity of kin connections.,Option C is incorrect because its relational composition is also restricted and incomplete.,"The correct answer is D because it includes varied kin connections, representing a more comprehensive view of family relationships.",D
"50. According to Maslow’s hierarchy, at which point is the highest level of need fulfilled?",Basic food and shelter exists,"Health and safety are secured
",Personal potential is maximized,Esteem is publicly recognized,"Option A is incorrect because it represents foundational needs, such as physiological requirements.",Option B is incorrect because it also reflects foundational safety needs rather than personal fulfillment.,"The correct answer is C because self-actualization involves reaching one’s full potential and personal growth, the highest level in Maslow’s hierarchy of needs.","Option D is incorrect because it reflects esteem needs, which are important but not the highest level of Maslow’s hierarchy.",C
51. Home Management is best defined as:,Random household activity,Systematic utilization of resources,Activities done by one person only,Outsourcing household tasks,Option A is incorrect because it misrepresents management as arbitrary rather than systematic.,The correct answer is B because effective management requires structured systems and clear goals to guide decision-making and resource use.,Option C is incorrect because it overlooks the necessity of planning and goal-setting.,Option D is incorrect because it misinterprets management functions and lacks focus on outcomes.,B
52. Which essential family role involves providing emotional support and care for its members?,Nurturance and support,Sexual gratification,Provision of resources,Economic function,"The correct answer is A. Nurturance and support because the family’s primary function is to provide care, emotional support, and guidance to its members.","Option B (Sexual gratification) is incorrect because it is a biological aspect of relationships, not a primary family function.","Option C (Provision of resources) is incorrect because while important, providing resources is secondary to emotional and social support.",Option D (Economic function) is incorrect because economic roles are a supportive function rather than the central purpose of the family.,A
53. Why should children participate in household tasks?,To enforce adult dominance,"To encourage independence and responsibility
",To reduce parent workload only,To keep them busy without purpose,Option A is incorrect because enforcing adult dominance is negative and does not promote learning or growth.,"The correct answer is B because participation in household tasks encourages independence and builds responsibility, helping children develop important life skills.",Option C is incorrect because doing tasks merely to reduce parent workload overlooks the developmental benefits for children.,Option D is incorrect because keeping children busy without purpose does not foster responsibility or skill-building.,B
54. Which factor should NOT heavily influence buying decisions?,Product quality,Personal needs,Misleading advertisements,Budget limitations,Option A is incorrect because quality affects value.,Option B is incorrect because it needs guide relevance.,The correct answer is C because misleading ads distort judgment.,"Option D is incorrect because the budget sets limits.
",C
"55. A home manager needs to allocate time for three chores: cooking, cleaning, and attending an online class, all due at the same time. Which approach reflects “effective time management”?
",Doing only the easiest task first,Prioritizing based on task urgency and deadline,Performing tasks randomly,Ignoring the class to finish cleaning,Option A is incorrect because choosing the easiest task may neglect what’s most important.,The correct answer is B because effective time management prioritizes tasks by urgency and deadlines to maximize outcomes.,Option C is incorrect because lack of structure reduces efficiency.,Option D is incorrect because skipping commitments (like a class) undermines responsibility.,B
"56. Why is impulse buying discouraged?
","It always leads to regret
","It ignores careful evaluation
",It increases product awareness,It strengthens financial planning,Option A is incorrect because regret is not guaranteed.,"The correct answer is B because impulse buying bypasses rational assessment.
","Option C is incorrect because awareness is superficial.
","Option D is incorrect because impulse weakens planning.
",B
"57. Which practice promotes consumer protection?
",Blind trust in sellers,Awareness of consumer laws,Emotional attachment to brands,Ignoring product information,Option A is incorrect because trust must be informed.,The correct answer is B because knowledge of laws empowers consumers.,"Option C is incorrect because attachment can bias decisions.
","Option D is incorrect because information is essential.
",B
58. Why should consumers read labels carefully?,"For entertainment
",To follow fashion trends,"To obtain accurate product information
",To support marketing efforts,"Option A is incorrect because labels inform, not entertain.",Option B is incorrect because trends are irrelevant.,The correct answer is C because labels provide essential facts for decision-making.,Option D is incorrect because labels protect consumers.,C
"59. When a family with limited income must choose between paying school fees and purchasing a non-essential gadget, which economic concept is being illustrated?",Scarcity and trade-offs,Unlimited resources,"Impulsive purchasing
","Exclusive focus on wants
",The correct answer is A because scarcity forces families to make choices and forego alternatives.,Option B is incorrect because family resources are limited.,"Option C is incorrect as the scenario is deliberate, not impulsive.","Option D is incorrect because the family’s focus is on fulfilling needs (education), not wants.",A
60. Why is delegation important for a home manager?,To ignore teamwork,To avoid doing work personally,To share responsibilities according to abilities,To demonstrate authority over family members,Option A is incorrect because ignoring teamwork contradicts collaborative home management principles.,Option B is incorrect because avoidance does not equate to delegation.,The correct answer is C because delegation ensures tasks are completed efficiently while building cooperation and skill development.,"Option D is incorrect because delegation is about efficiency, not asserting authority.",C
61. Why is consumer education vital in modern society?,Markets are simple,Choices are limited,Consumers face complex decisions,Advertising is declining,Option A is incorrect because markets are complex.,Option B is incorrect because choices are abundant.,The correct answer is C because modern markets offer many complex options.,Option D is incorrect because advertising is increasing.,C
62. Which activity best demonstrates effective meal planning?,Preparing meals randomly each day,Cooking only what is available without planning,"Creating a weekly menu based on nutrition and budget
",Ordering fast food for convenience,"Option A is incorrect because random meals waste resources and time.
",Option B is incorrect because unplanned cooking can result in waste and poor meal quality.,The correct answer is C because meal planning ensures balanced nutrition and efficient resource use.,Option D is incorrect because relying on fast food lacks nutritional planning and cost control.,C
63. What is the primary purpose of setting household goals?,To show off planning skills to neighbors,"To focus efforts and prioritize tasks effectively
",To assign tasks randomly,To have something to write down without action,"Option A is incorrect because the purpose is functional, not social recognition.",The correct answer is B because setting goals guides decision-making and resource allocation.,Option C is incorrect because random assignment ignores efficiency and planning.,"Option D is incorrect because goals are meant to direct action, not just documentation.",B
"64. A home manager receives an unexpected decrease in household income and decides to reduce spending on leisure activities while maintaining the budget for food, utilities, and education. Which management principle is being demonstrated?",Task avoidance,Doing least important tasks first,Ignoring responsibilities,Priority setting,"Option A is incorrect because reducing leisure expenses shows deliberate decision-making, not avoidance.",Option B is incorrect because essential needs are given precedence over less important activities.,Option C is incorrect because maintaining basic needs reflects responsible household management.,The correct answer is D because priority setting requires identifying essential needs and allocating limited resources to them first.,D
65. A family regularly experiences shortages before the end of each month because expenses are not monitored. Which purpose of budgeting directly addresses this problem?,"To allocate limited resources effectively to meet essential needs
",To eliminate the need for financial planning,To encourage spending without limits,To compare lifestyle with other families,"The correct answer is A because budgeting helps control spending, allocate resources properly, and ensure that essential needs are met throughout the month.","Option B is incorrect because budgeting is a form of financial planning, not a replacement for it.",Option C is incorrect because unlimited spending leads to financial instability.,"Option D is incorrect because budgeting is intended to manage household resources, not to compete socially.",A
"66. In a household where tasks are completed faster and with fewer conflicts, family members are assigned responsibilities that match their strengths and available time. Which practice contributes most to this outcome?","Avoiding household responsibilities
",Assigning tasks based on abilities and skills,"Ignoring cooperation among members
",Letting only one person handle all tasks,Option A is incorrect because avoiding responsibilities leads to unfinished tasks.,The correct answer is B because assigning tasks according to each member’s abilities and skills ensures work is done efficiently and reduces unnecessary burden.,Option C is incorrect because cooperation and teamwork are necessary for smooth household operations.,Option D is incorrect because concentrating all tasks on one person causes overload and lowers efficiency.,B
67. A household frequently exceeds its budget because family members are unsure where their money is being spent. Which management practice would best help prevent this problem?,Increasing income without monitoring expenses,Ignoring financial transactions,Monitoring expenses and resource usage through proper records,Keeping information only in memory,Option A is incorrect because higher income alone does not solve poor financial control.,Option B is incorrect because ignoring transactions leads to mismanagement.,"The correct answer is C because proper record-keeping provides accurate information that helps monitor expenses, evaluate spending patterns, and make informed household decisions.",Option D is incorrect because relying on memory is unreliable and inaccurate for tracking resources.,C
"68. Which approach demonstrates adaptability in managing household changes?
",Adjusting routines when unexpected events occur,Following the same plan rigidly,Ignoring new situations,Delegating only minor tasks,The correct answer is A because adaptability allows the household to maintain stability and efficiency despite changes.,Option B is incorrect because adaptation is about overall flexibility.,Option C is incorrect because rigidity prevents effective response.,Option D is incorrect because ignoring changes can create problems.,A
"69. A well-informed consumer is most likely to:
",Buy impulsively,Depend solely on ads,Evaluate options carefully,Follow peer pressure,"Option A is incorrect because impulse ignores information.
",Option B is incorrect because ads persuade.,The correct answer is C because informed consumers analyze before buying.,"Option D is incorrect because peers may differ.
",C
"70. Which action shows application of budgeting skills?
",Spending without tracking,Allocating income to needs and savings,Buying based on emotions,Ignoring financial limits,Option A is incorrect because tracking is essential.,The correct answer is B because budgeting allocates resources wisely.,Option C is incorrect because emotions mislead.,Option D is incorrect because limits matter.,B
71. Consumer complaints are important because they:,Annoy businesses,Improve consumer awareness and protection,Delay product use,Promote unnecessary conflict,Option A is incorrect because complaints serve a purpose.,The correct answer is B because complaints help correct unfair practices.,Option C is incorrect because resolution is the goal.,Option D is incorrect because complaints seek fairness.,B
72. Why should consumers avoid blind brand loyalty?,It limits independent thinking,It increases product choices,It improves decision-making,It ensures quality,The correct answer is A because blind loyalty discourages evaluation.,Option B is incorrect because loyalty narrows options.,Option C is incorrect because evaluation is reduced.,Option D is incorrect because brands vary in quality.,A
73. A home manager regularly checks whether household tasks are completed properly and provides guidance when standards are not met. What is the primary purpose of this action?,To discourage family members from participating,"To focus on finding faults and assigning blame
",To control every activity without trust,To ensure household tasks meet set goals and standards,"Option A is incorrect because effective supervision encourages, not discourages, participation.","Option B is incorrect because supervision is meant to guide and improve performance, not punish mistakes.",Option C is incorrect because excessive control reduces independence and efficiency.,The correct answer is D because supervision helps ensure that household activities are carried out according to planned goals and acceptable standards.,D
"74. Why is planning essential in consumer decision-making?
",It eliminates all risks,It ensures unlimited resources,It helps manage scarcity effectively,It guarantees satisfaction,Option A is incorrect because risk always exists.,Option B is incorrect because resources are finite.,The correct answer is C because resources are limited and require management.,Option D is incorrect because satisfaction varies.,C
75. How does the interrelated nature of resources affect household decision-making?,It makes planning unnecessary,It forces prioritization to meet goals efficiently,It allows unlimited use without consequences,It encourages ignoring scarce resources,Option A is incorrect because ignoring planning leads to wasted time and resources.,The correct answer is B because resources are connected and limited; effective household decision-making requires prioritizing which needs and goals to address first to maximize outcomes.,Option C is incorrect because resources are rarely unlimited; assuming so causes poor management.,Option D is incorrect because ignoring scarcity undermines the family’s ability to achieve goals.,B
76. Why must resources have alternate uses in household management?,To create more problems,To allow flexibility in unplanned situations,To avoid setting priorities,To eliminate the need for planning,"Option A is incorrect because resources are meant to solve problems, not create them.","The correct answer is B because alternate uses of resources allow a family to adapt when unexpected needs arise, ensuring continuity in achieving goals.",Option C is incorrect because alternate uses do not remove the need to prioritize.,Option D is incorrect because planning is still required even when resources are flexible.,B
77. What is an effective strategy for maximizing satisfaction with limited household resources?,Spending randomly,Using resources to meet wants and needs efficiently,Ignoring family goals,Delegating all decisions to others,Option A is incorrect because random spending wastes resources.,"The correct answer is B because efficient resource use ensures that both essential needs and desired goals are met within limits, increasing overall satisfaction.",Option C is incorrect because ignoring goals prevents satisfaction from being achieved.,Option D is incorrect because relying entirely on others removes control and accountability over household outcomes.,B
78. Which statement correctly compares human and non-human resources?,Human resources like skills drive planning; non-human resources are tools and materials,Non-human resources are more important than human resources,Human resources are unlimited,Both types are identical and interchangeable,"The correct answer is A because human resources (skills, knowledge, energy) are the drivers of action, while non-human resources (money, equipment) support tasks.",Option B is incorrect because human resources are essential for using non-human resources effectively.,"Option C is incorrect because human resources are limited by time, energy, and capability.",Option D is incorrect because human and non-human resources have distinct roles and cannot be used interchangeably.,A
79. What is the likely impact on a household if time is poorly managed?,Tasks are completed early,Stress increases and resources are wasted,Nothing changes,Family satisfaction automatically improves,Option A is incorrect because poor planning rarely results in early completion.,"The correct answer is B because poor time management leads to rushed or missed tasks, causing stress and inefficient resource use.",Option C is incorrect because the effects of mismanaged time are significant and noticeable.,"Option D is incorrect because poor time management usually decreases satisfaction, not improves it.",B
