QUESTIONS,A,B,C,D,DESCRIPTION A,DESCRIPTION B,DESCRIPTION C,DECRIPTION D,ANSWER
34. Which kitchen layout is considered the most efficient by many experts?,U-shaped,Corridor,One-Wall,L-shaped,Provides the best compact work triangle.,Efficient for one but creates traffic jams.,Least efficient due to lack of triangle. ,Involves more walking than U-shape.,A
"35. What is formed by the imaginary lines connecting the refrigerator, sink, and range?",The Safety Zone ,The Cleaning Circle ,The Prep Square,The Work Triangle,"General safety term, not geometric.",Not a standard kitchen design term.,Not a standard kitchen design term.,Principle ensuring efficient distance between centers.,D
36. Which type of kitchen is frequently used in apartments but often lacks sufficient counter space?,Island kitchen,One-Wall kitchen,Peninsula kitchen,U-shaped kitchen,Requires a very large room. ,Common in tiny apartments to save space.,Offers extra counter space.,"Requires three walls, rare in tiny units.",B 
37. Which kitchen innovation from 1834 helped reduce the task of moving heavy iron cookware?,Cooking Stove,Refrigerator,Microwave,Dishwasher,Localized heat and reduced labor of moving pots.,Focuses on preservation. ,20th-century invention. ,Focuses on cleanup.,A
38. Which tool is specifically used for removing a thin outer layer from fruits and vegetables?,Peeler,Spatula,Grater,Knife,Specifically designed for thin skin removal.,Used for flipping or spreading. ,Used for shredding food. ,"Can peel, but isn't specifically for thin layers.",A
39. What is the primary purpose of a dishwasher in the kitchen?,To store clean dishes,To efficiently clean and sanitize dishes,To reduce water usage only,To dry dishes quickly,This is the role of a cabinet.,Primary goal is hygiene and labor-saving.,"Efficiency is a benefit, not the primary goal.",This is a secondary drying cycle.,B
40. What is the difference between cleaning and sanitizing?,Cleaning kills bacteria.,They are the same thing.,Sanitizing is done with soap., Cleaning removes visible dirt; sanitizing removes harmful microorganisms.,Cleaning only moves or removes dirt.,They are two distinct steps. ,Soap is for cleaning; sanitizing uses bleach/heat.,Defines the two distinct steps in safety.,D
41. What is the safest way to extinguish a grease fire?,Pour salt or baking soda over the flames.,Pour water on it.,Use a damp towel.,Fan the flames.,Smothers oxygen without reacting violently.,Extremely dangerous; causes explosion.,Risk of spreading the fire.,"Adds oxygen, making it bigger.",A
"42. When using a sharp knife, in which direction should you cut?",Toward your body.,Upward.,Away from your body.,It doesn't matter.,Extremely dangerous.,Provides poor leverage. ,Standard safety rule to prevent injury.,Technique is vital for safety.,C
43. Which of the following is an unsafe practice in the kitchen?,Tying back long hair.,Using electric appliances with wet hands.,Wiping up spills immediately.,Lifting lids away from you.,This is a safe practice.,Extremely unsafe; risks electrocution.,This is a safe practice.,This is a safe practice.,B 
44. What temperature of water is typically used to sanitize surfaces?,100°F,140°F,212°F,180°F,Lukewarm; doesn't kill most bacteria.,Not enough for full sanitization.,Unnecessary and can damage equipment.,Standard temperature for killing pathogens.,D
"45. To retain the maximum amount of nutrients, color, and flavor, how should vegetables be cooked?",Boiled in a large amount of water., Deep-fried.,Cooked in as little water as possible. ,Microwaved without covering.,Leaches out water-soluble vitamins,Destroys vitamins and adds excessive fat.,Minimizes nutrient loss and overcooking.,Covering is usually better for steam.,C
46. Why do commercially frozen vegetables require shorter cooking times than fresh ones?,They have been partially cooked (blanched).,They are softer because of the ice.,They are cut into smaller pieces.,Freezing changes their chemical structure.,Blanching stops enzymes and softens them.,"Ice doesn't make them ""soft"" in a cooked sense.",Not the primary scientific reason.,Freezing slows chemistry; doesn't cook them.,A
47. What is the best storage place for most fresh vegetables to keep them cold and moist?,"A cool, dry pantry.",The kitchen counter.,A sealed plastic bag in the sun.,The refrigerator.,Good for potatoes/onions only.,Causes wilting and nutrient loss.,Causes rapid rot and bacterial growth.,"Provides a cold, humid environment needed.",D
"48. To prevent fruits like apples and pears from browning after cutting, what should you do?",Place them in citrus juice.,Put them in the freezer.,Wash them with warm water.,Leave them in the open air.,Acid prevents the oxidation process.,Ruins texture and only slows browning.,Speeds up enzymatic browning.,Oxygen causes browning.,A
49. Which cooking method is best suited for tender cuts of meat like loin and ribs?,Dry-heat methods like broiling.,Stewing,Steaming,Moist-heat methods.,Tender cuts cook quickly without needing moisture.,Used for tough cuts to break down connective tissue.,Generally for fish or vegetables.,Reserved for tougher cuts like shank.,A
"50. What is ""cured"" meat?",Meat that has been fully cooked.,Meat is sold exactly as it comes from the animal.,Meat treated with preservatives.,Meat that has been frozen., Some cured meats still need cooking.,"This is ""fresh"" meat. ",Treated with salt/nitrates to prevent spoilage.,"This is ""frozen"" meat.",C
"51. During a ""red tide,"" which of the following is unsafe to eat?",Fish (gills/viscera removed).,Filter-feeding shellfish like mussels.,Crabs,Shrimps,Generally safe if toxin is removed from organs.,They ingest and concentrate toxic algae.,Safe if hepatopancreas removed.,Not filter feeders like mussels.,B 
52. Which part of the fish must be removed before cooking during a red tide event?,The scales.,The tail.,The fins.,"The gills, viscera, and internal organs.",Do not harbor the toxin. ,Muscle meat is generally safe. ,Do not harbor the toxin. ,Areas where toxic algae are trapped and processed.,D
53. Variety meats include which of the following?,"Liver, kidney, and heart.",Loin and ribs.,Round and rump.,Shoulder and breast.,Edible internal organs. ,These are primal cuts. ,These are hindquarter cuts. ,These are forequarter cuts.,A
54. What is the difference between an appetizer salad and a main course salad?,The appetizer salad is larger.,The appetizer salad contains more meat.,The main course salad is usually larger in portion.,There is no difference.,Appetizers are small to stimulate appetite.,Main course salads usually contain the meat.,Substantial enough for a full meal.,Differ in size and nutrient density.,C
55. Why should salads containing milk or eggs be refrigerated?,To keep them from wilting.,To improve the flavor.,To make them easier to serve.,To prevent the growth of bacteria.,Wilting applies more to lettuce. ,Primary reason is safety. ,Temperature doesn't change serving ease.,Prevents growth of bacteria in high-risk foods.,D
"56. Which salad dressing is a combination of chili sauce, sweet pickle relish, and hard-cooked eggs?",Thousand Island,Russian,French,Vinaigrette,Usually uses mayonnaise as a base.,Defined by this specific combination.,Typically vinaigrette with paprika/ketchup.,Simple mix of oil and vinegar.,B 
57. What is the best way to handle salad greens to avoid bruising them?,Cut them with a sharp knife.,Chop them in a food processor.,Tear them by hand.,Peel them.,Metal knives can cause browning at the cut edge.,Very aggressive and bruises leaves.,Follows natural cell boundaries.,Leafy greens are not peeled.,C
58. Which form of food typically conserves the most nutrients?,Fresh or Frozen,Canned,Dried,Dehydrated,Retain the most vitamins.,High heat destroys some vitamins.,Air/heat exposure reduces nutrients.,Nutrients lost during evaporation.,A
"59. What is ""Mise en place"" in food preparation?",Cleaning up after cooking.,Having all ingredients/equipment ready.,The final presentation.,A type of French dessert.,This is sanitation or closing.,Organization before cooking.,This is plating.,"Management principle, not food.",B 
60. Which of these is an immune-booster beverage mentioned in the module?,Coffee,Soda,Sweetened Tea,Turmeric Milk,Not classified as such in this context.,High sugar suppresses the immune system.,Sugar negates tea benefits.,Contains curcumin for immune support.,D
61. Which macronutrient is the body's primary and most preferred source of energy?,Carbohydrates,Proteins,Fats,Vitamins,Primary fuel for the body.,The main job is building and repairing tissues.,Concentrated energy for storage.,These are micronutrients with no calories.,A
"62. In the ""Pinggang Pinoy"" concept, what is the primary role of ""Grow Foods"" like fish and meat?",Provide energy.,Protect against disease.,Build and repair tissues.,Regulate body temperature.,"Role of ""Go Foods"" like rice.","Role of ""Glow Foods"" like fruits.",High-protein for growth/repair.,Role of water and fats.,C
"63. Which mineral is the core component of hemoglobin, which carries oxygen in the blood?",Calcium,Iron,Iodine,Sodium,Essential for bones/muscles.,Binds oxygen in blood.,Required for the thyroid gland.,Regulates fluid balance.,B 
"64. What is the temperature ""Danger Zone"" where foodborne bacteria multiply most rapidly?",0°C to 4°C,75°C to 100°C,-18°C,5°C to 60°C,Standard refrigeration temperature.,Cooking/boiling range.,Freezing point.,Rapid bacterial multiplication range.,D
"65. ""Cross-contamination"" in food safety is best described by which scenario?",Cooking food too long.,Storing rice in a sealed container.,Touching raw meat then touching salad without washing hands.,Boiling water for 5 minutes.,This is overcooking.,This is proper storage.,Transfers pathogens to ready-to-eat food.,Method of sanitization.,C
66. Why is dietary fiber important in the human diet?,It prevents constipation.,It builds muscle.,It provides 9 calories per gram.,It makes bones stronger.,Keeps the digestive system moving.,Muscle needs protein.,This describes fats.,Role of Calcium.,A
67. Which vitamin can be synthesized by the body through skin exposure to sunlight?, Vitamin E,Vitamin B12,Vitamin K,Vitamin D,Obtained through diet.,Found in animal-based foods.,Produced by gut bacteria.,Produced via skin exposure to UV.,D
68. Kwashiorkor is a form of malnutrition characterized by a swollen belly. What is missing?,Total Calories,Protein,Vitamin A,Iron,Describes Marasmus.,Lack of protein causes fluid leaks.,Leads to blindness.,Leads to fatigue/anemia.,B 
"69. Which method is classified as ""Dry Heat"" cooking?",Roasting,Poaching,Steaming,Boiling,"Uses hot, dry air.",Uses liquid at low heat.,Uses water vapor.,Uses water at 100°C.,A
"70. Food Fortification in the Philippines (e.g., Vitamin A in flour) aims to:",Improve the taste of food.,Reduce the price of food.,Address micronutrient deficiencies in the population.,Make food look more colorful.,Rarely changes flavor.,Can increase price slightly.,Public health strategy for deficiencies.,Role of food coloring.,C
"71. Which of the following is an example of a ""Glow Food""?",Bread,Calamansi,Eggs,Butter,This is a Go Food.,Fruit high in vitamins.,This is a Grow Food.,Used for energy.,B 
72. How much energy does 1 gram of fat provide?,4 Calories,7 Calories,0 Calories,9 Calories,Value for proteins/carbs.,Value for alcohol.,Most foods have calories.,Most concentrated energy source.,D
73. A BMI (Body Mass Indez) of 32 falls under which category?,Underweight,Normal,Obese,Overweight,Below 18.5,18.5 to 24.9,30.0 and above.,25.0 to 29.9,C
74. Which vitamin is NOT fat-soluble?,Vitamin C,Vitamin A,Vitamin E,Vitamin K,Water-soluble vitamin.,This is fat-soluble.,This is fat-soluble.,This is fat-soluble.,A
75. What mineral is added to salt to prevent Goiter?,Iron,Calcium,Fluoride,Iodine,Prevents anemia.,For bones.,For dental health.,Required to prevent goiter.,D
"76. In the ""FIFO"" storage system, what does the acronym stand for?","Fast In, Fast Out","First In, First Out","Fresh In, Fresh Out","Final In, First Out",Not a standard term.,Older stock used first.,Sounds plausible but incorrect.,Would lead to older food rotting.,B 
77. Which nutrient is essential for blood clotting?,Vitamin A,Vitamin D,Vitamin K,Vitamin E,For vision.,For bones.,Essential for blood clotting.,Acts as an antioxidant.,C
78. Which cooking method is best for preserving the most nutrients in vegetables?,Steaming,Boiling,Deep Frying,Stewing,Vitamins remain inside vegetables.,Nutrients leak into water.,High heat destroys vitamins.,Long times break down vitamins.,A
"79. What is the role of ""Electrolytes"" like Sodium and Potassium?",Provide energy.,Maintain fluid balance.,Build muscle fibers.,Protect against viruses.,Role of carbs.,Controls water balance.,Role of protein.,Role of immune system.,B 
"80. Which of these is a ""Complete Protein"" source?",Whole Wheat,Peanuts,Corn,Soybeans,Lacks essential amino acids.,Missing essential amino acids.,Missing essential amino acids.,Contains all essential amino acids.,D
"81. Which practice is considered ""Food Sanitation""?",Keeping the kitchen surfaces clean and germ-free.,Using a lot of spices.,Garnishing the plate with parsley.,Buying only imported foods.,Prevents spread of disease.,This is for flavor.,This is for presentation.,Origin doesn't guarantee safety.,A
"82. Why should we avoid ""Skipping Breakfast""?",It makes you taller.,It prevents the flu.,It provides the fuel needed for morning activities.,It makes food taste better.,Determined by genetics/nutrition.,Immunity is a long-term process.,Replenishes energy after fast.,Skipping meals is unhealthy.,C
83. Which mineral helps prevent dental cavities?,Magnesium,Iron,Phosphorus,Fluoride,For muscles and nerves.,For blood.,For bones and energy.,Strengthens enamel against acid.,D
"84. What does ""Perishable"" food mean?",Food that lasts forever.,Food that spoils quickly if not refrigerated.,Food that is very expensive.,Food that contains no vitamins.,Describes non-perishable.,Spoils quickly without control.,Price is unrelated to spoilage.,Perishability is about bacteria.,B 
"85. What is ""Food Literacy""?",The ability to read a menu.,Knowing how to write a cookbook.,Knowledge and skills to make healthy food choices.,Memorizing every food's calorie count.,Too narrow.,Specific professional skill.,Knowledge for healthy choices.,Literacy is about application.,C
86. Which vitamin is essential for a healthy pregnancy to prevent neural tube defects?,Folate / Folic Acid,Vitamin E,Vitamin B1,Vitamin K,Essential for spinal cord development.,For skin and antioxidants.,For energy metabolism.,For blood clotting.,A
"87. Which of the following is the best example of ""Food Preservation"" by lowering the water activity?",Pasteurizing milk.,Drying fish under the sun.,Garnishing a salad.,Blanching vegetables.,"Uses heat, doesn't remove water.",Dehydration prevents bacterial growth.,This is for presentation.,Food remains moist and perishable.,B 
"88. In the ""Philippine Dietary Reference Intakes"" (PDRI), what does the ""RNI"" stand for?",Required Nutrient Intake,Regular Nutrition Indicator,Reduced Nutrient Item,Recommended Energy and Nutrient Intake,Close but not official.,Made-up term.,Refers to diet products.,Official nutritional standard term.,D
"98. When a person eats too much salty food (high sodium), what is the most likely immediate effect on the body?",The person will feel very energetic.,The person will lose weight immediately.,"The body will retain water, potentially increasing blood pressure.",The person’s bones will get stronger.,Not a calorie energy source.,Leads to water weight gain.,High sodium causes fluid retention.,Can cause calcium loss.,C
90. Which of the following is a symptom of Iodine Deficiency Disorder (IDD) aside from goiter?,Mental retardation/Cretinism in children.,Scurvy,Night Blindness.,Beriberi,Iodine is crucial for brain development.,Caused by Vitamin C deficiency.,Caused by Vitamin A deficiency. ,Caused by Vitamin B1 deficiency.,A
