Questions,A,B,C,D,DESCRIPTION A,DESCRIPTION B,DESCRIPTION C,DESCRIPTION D,ANSWER
"11. A homeowner has a very narrow hallway. To make the space feel wider using Color Theory, which action should they take?","Paint the walls a dark, warm red.","Paint the walls a light, cool blue.",Paint the floor and ceiling black.,"Paint the walls a light, cool blue.",Warm colors are advancing and would make the hallway feel tighter.,The color would create a tunnel effect.,"Vertical stripes make a room feel taller, not wider.","Light, cool colors are receding colors; they visually push walls away, making a space feel larger.",D
12. Which of the following is a Secondary Color? ,Green,Red,Yellow,Blue,Green is made by mixing two primary colors (Yellow + Blue).,Red is a primary color.,Yellow is a primary color.,Blue is a primary color.,A
13. How does Asymmetrical Balance achieve equilibrium in a visual composition? ,By mirroring identical elements on both sides of a center line.,By placing all heavy objects at the bottom of the canvas.,By using different elements with equal visual weight.,By using only one color throughout the entire piece.,It is Formal/Symmetrical balance.,It is a type of gravity-based composition but not balance,Visual weight can be balanced by placing a large dull object against a small bright one.,It refers to harmony or unity.,C
14. An artist wants to create a feeling of Chaos and Energy in a digital painting. Which type of rhythm is most effective? ,Regular Rhythm ,Progressive Rhythm ,Random Rhythm ,Alternating Rhythm,It is too predictable and calming.,It shows a steady increase or decrease (like a staircase).,"Random rhythm lacks a predictable pattern, which creates the feeling of spontaneity and disorder.",It is too predictable and calming.,C
15. The term Value in visual arts refers to ________. ,The price of the artwork at an auction.,The lightness or darkness of a color.,The historical importance of the artist.,The physical weight of the materials used.,It refers to Market Value,Value is used to create the illusion of 3D form on a flat surface.,It refers to Provenance or Significance,It refers to Physical Mass.,B
16. Why is unity often described as the most important principle of design? ,Because it prevents the viewer from looking at the art for too long.,Because it allows the artist to use as many colors as possible.,"Because it ensures that all elements work together to create a singular, cohesive message. ",Because it is the only principle that uses lines.,Good design usually keeps the viewer's attention.,"It refers to Variety, which can actually destroy unity if not balanced.","Without unity, a design feels like a collection of random parts rather than a finished whole.","It is variety, which is the opposite of unity.",C
17. A sculpture is made entirely of recycled plastic bottles to comment on environmental waste. This is an example of art's ______ function. ,Personal,Social,Physical,Economic,Personal is for self-expression.,"Art that addresses collective human concerns, politics, or environmental issues serves a social function.",Physical is for utility.,Economic is not a standard functional category of art.,B
"18. In painting, Tempera is a medium that typically uses what substance as a binder for the pigment? ",Egg Yolk,Linseed Oil ,Plaster,Gum Arabic,Egg tempera was the primary medium for panel painting before the invention of oil paint.,Linseed Oil is for Oil paint.,Plaster is for Fresco.,Gum Arabic is for Watercolor.,A
"19. If an artist wants to create a sculpture that is light, durable, and can be mass-produced through a mold, which medium is most appropriate?",Marble,Bronze,Terracotta,Resin/Plastic ,Marble is heavy and must be carved.,Bronze is very heavy and expensive.,Terracotta is fragile and prone to breaking.,Resin is lightweight and ideal for industrial molding and reproduction,D
20. How does Impressionism differ from Realism?,Impressionism focuses on exact details; Realism focuses on light.,"Impressionism captures a fleeting moment of light; Realism depicts the ""truth"" of everyday life.",Realism uses bright neon colors; Impressionism uses only black and white.,Both movements are identical in style but occurred in different centuries.,"Impressionists cared about the optical effects of light at a specific moment, while Realists aimed to show the unvarnished, often gritty reality of social conditions.",Impressionists cared about the atmosphere and optics; Realists cared about the social conditions of the working class.,"Realism typically uses earthy, natural tones to reflect the real world. Impressionism is famous for its bright, vibrant color palettes, not black and white.", It is historically false.,B
21. Which art movement is famous for fragmenting objects into geometric shapes and showing multiple viewpoints at once? ,Cubism,Surrealism,Pop Art ,Fauvism,Cubism broke objects into planes to show them from several angles simultaneously.,Surrealism deals with dreams/subconscious,Pop Art deals with consumer culture.,Fauvism deals with wild colors.,A
22. What is the result of adding white to a pure hue? ,A Shade,A Neutral ,A Tone,A Tint,Adding black creates a shade.,A neutral refers to colors like brown/beige.,Adding grey creates a tone.,A tint increases the lightness of a color,D
23. Which of the following is an example of Radial Balance? ,A portrait where the face is in the exact center.,A landscape with a large tree on the left and a small bush on the right. ,A rose window in a cathedral where all elements radiate from the center.,A pattern of stripes on a shirt.,It is Formal/Symmetrical.,It is Asymmetrical.,Radial balance moves outward from a central focal point like a wheel.,It is Repetition/Rhythm.,C
24. The intensity or saturation of a color refers to its _________.,Lightness,Name,Temperature,rightness or Dullness  ,Lightness is value.,Name is Hue.,Temperature is Warmth/Coolness.,Intensity describes how pure or vivid a color is versus how washed out it is.,D
"25. If you want to create Emphasis in a black-and-white photograph, what is the most effective method? ",Introducing a single element in a vibrant color.,Making everything the same shade of grey.,Taking the photo in total darkness. ,Using a very small lens.,"Contrast—whether through color, size, or shape—is the fastest way to create a focal point.",It creates unity but lacks emphasis.,Technical errors that don't guarantee emphasis.,Styles that don't guarantee emphasis,A
26. Which branch of art is concerned with the design of buildings and structures?,Architecture,Interior Design,Landscape Gardening,Urban Planning,Architecture is the primary art form of creating habitable spaces.,Interior Design is the inside.,Landscape Gardening is indoor plants.,Urban Planning is the layout of cities.,A
27. Which indigenous weaving tradition from the T'boli people uses abaca fibers and is often called Dream Weaving? ,Piña,T'nalak,Inabel,Banig,Piña is made from pineapple fibers.,T'nalak designs are said to be communicated to the weavers in their dreams by the spirit Fu Dalu.,Inabel is an Ilocano weaving tradition.,"Banig is a mat, not specifically abaca weaving.",B
28. Who is known as the Father of Modern Philippine Painting for introducing bold strokes and distorted figures?,Victorio Edades,Fernando Amorsolo,Vicente Manansala,"Carlos ""Botong"" Francisco","Edades challenged the ""Amorsolo School"" of beauty by introducing the ""Triumvirate"" and modernism.",Fernando Amorsolo is the master of traditional backlighting.,Vicente Manansala is a cubist.,"Carlos ""Botong"" Francisco is a muralist.",D
29. Who is the philosopher that viewed art as the signature of man? ,Plato,Aristotle,John Ruskin,G.W.F. Hegel,Plato saw art as a copy of a copy.,Aristotle believed art was a representation of nature.,"John Ruskin famously stated, Art is the signature of man, emphasizing the human element in creation.",Hegel viewed art as a manifestation of the Spirit.,C
"30. Which type of Line is most effective if an artist wants to depict growth, dignity, and height? ",Horizontal Lines,Diagonal Lines,Jagged Lines,Vertical Lines,"Horizontal lines suggest rest, serenity, and the horizon.","Diagonal lines suggest movement, instability, and action.","Jagged or zigzag lines suggest chaos, energy, or danger.","Vertical lines lead the eye upward, symbolizing power, poise, and stability.",D
"31. If a room has many different patterns, colors, and furniture styles, but feels messy rather than eclectic, which principle has the designer failed to apply? ",Variety,Harmony/Unity,Emphasis,Scale,The room has too much variety; variety is not the problem.,"Harmony is the principle that ties disparate elements together; without it, a room feels chaotic.","Emphasis might exist, but it won't fix a lack of overall cohesion.","Scale deals with the size of objects relative to the room, not the messiness of styles.",B
32. An artist is commissioned to create an outdoor mural in a tropical city with high humidity and heavy rain. Which medium should be avoided to ensure longevity?,Watercolor,Oil Paint,Mosaic,Acrylic,Watercolor is water-soluble; moisture and rain would instantly dissolve the pigment.,"Oil is water-resistant, though it may eventually crack; it is more durable than watercolor.",Mosaics are highly durable and weather-resistant for outdoors.,Exterior-grade acrylics are commonly used for murals due to their durability and flexibility,C
"33. To create a sense of shallow space in a graphic design poster, which technique should be utilized? ",Overlapping shapes without changing their size or color value.,Using a vanishing point with deep diagonal lines.,Using bright blue in the background and dark red in the foreground.,"Drawing a long, winding road that disappears into a mountain.","This creates a sense of deep, receding space.",Overlapping provides a minimal sense of front and back without creating an expansive 3D illusion.,This uses atmospheric color cues which tend to suggest more depth.,This is a classic example of deep linear perspective.,A
34. Which color harmony uses three to four colors that are adjacent on the color wheel?,Analogous,Triadic,Complementary,Monochromati,"Analogous colors (e.g., Yellow, Yellow-Green, Green) share a common hue and are peaceful to the eye.",Triadic colors are equally spaced (forming a triangle).,Complementary colors are opposites.,Monochromatic uses only one hue with different values.,A
35. What visual phenomenon occurs when you place two Complementary Colors directly next to each other?,They blend together to make a neutral grey.,They make each other appear more vibrant and intense.,They disappear into the background.,They create a monochromatic effect.,"This only happens when they are mixed as pigments, not when placed side-by-side.","Opposite colors vibrate against each other, creating maximum visual interest.",They stand out more than any other combination.,Monochromatic requires a single hue.,B
"36. The ""Spoliarium"" by Juan Luna is a world-renowned masterpiece. What does its subject matter symbolize in the context of Philippine history?",The celebration of Roman athletic victory.,The beauty of classical European art styles.,The importance of cleaning public arenas.,The social and political suffering of Filipinos under Spanish colonial rule. ,"While it depicts a Roman basement, it is a scene of defeat and death, not celebration.","While it uses the Academic style, its symbolism is specifically geared toward the Filipino struggle.","This is a literal, non-symbolic interpretation of the ""spoliarium"" (the morgue of the coliseum).","The fallen gladiators represent the ""spoils"" or the oppressed state of the Philippines under the colonizers.",D
"37. Who is the National Artist known as the Father of Philippine Sculpture"" and the creator of the UP Oblation?",Napoleon Abueva,Vicente Manansala,Juan Luna,Guillermo Tolentino,"Napoleon Abueva is the ""Father of Modern Philippine Sculpture,"" known for his abstract works.","Vicente Manansala was a prominent painter known for ""Transparent Cubism."""," Juan Luna was primarily a painter, not a sculptor.","Tolentino was the master of the classical, representational style in Philippine sculpture.",D
38. What is the primary characteristic of Vicente Manansala's Transparent Cubism?,It uses glass panels instead of canvas.,It breaks subjects into geometric shapes that overlap and remain translucent.,It involves painting only invisible objects.,"It uses very thin, watery oil paint to make the canvas look like a window.","It is a style of painting on traditional surfaces, not a physical use of glass.","Unlike European cubism, Manansala’s style allowed the layers to be seen through, maintaining the integrity of the subject.",The subjects (like vendors or families) are very much visible and central to the work.,"Transparency refers to the visual layers of the composition, not the physical thickness of the paint.",B
39. A furniture maker creates a chair where the legs are made of thin glass and the seat is made of heavy lead. Which principle is being visually and physically violated? ,Proportion,Symmetrical Balance,Radial Balance,Emphasis,"Proportion deals with the relationship of parts; thin legs for a heavy seat create a visual and physical ""top-heavy"" imbalance.",The chair could be symmetrical but still be structurally and visually awkward.,"Radial balance requires elements to radiate from a center, which is not applicable here.","While the seat is emphasized by its weight, the core design failure is the relationship of the parts.",A
40. The surface quality of a Bila-o that can be felt by the hand is an example of __________.,Visual Texture,Implied Texture,Tactile Texture,Smooth Texture,"Visual texture is ""seen"" but not felt.","Implied texture is a synonym for visual texture, where the artist ""tricks"" the eye.",Tactile (or Actual) texture is the physical surface you can touch.,"Woven baskets are generally rough or ribbed, not smooth.",C
41. An artist paints a beautiful landscape but signs a different famous artist's name on it to sell it for more money. This is an example of a failure in ________.,Aesthetic judgment.,Technical skill.,Artistic Integrity and Ethics.,Color harmony.,"The painting itself might be beautiful, but the act is wrong.",The artist clearly has skill if they can mimic a famous style.,"This is Forgery or Fraud, which violates the ethical standards of the art world.","Harmony is a design principle, not a moral one.",C
"42. Which art movement is characterized by dream-like imagery, illogical scenes, and a focus on the subconscious mind?",Realism,Surrealism,Impressionism,Pop Art,"Realism focuses on the objective, everyday world.",Surrealism explores the world of dreams and the unreal.,Impressionism focuses on the effects of light and color on the senses.,Pop Art focuses on commercial culture and mass media.,B
"43. A homeowner wants to create a warm and cozy atmosphere in a large, drafty living room. Which color selection for the walls would be most effective? ",Deep terracotta or burnt orange,"Crisp, sterile white","Light, pale blue",Cool mint green,"Warm colors are advancing colors that visually bring walls inward, creating intimacy and warmth.","Pure white reflects all light and can feel impersonal or ""clinical"" in a large space."," Light blue is a cool color that recedes, making a large room feel even larger and colder.",Green is on the cool side of the spectrum and would not contribute to a cozy or warm psychological effect.,A
"44. Which National Artist for Visual Arts is famous for his Expressionist style, often depicting angst, suffering, and junk in a distorted, powerful manner?",Fernando Amorsolo,"Carlos ""Botong"" Francisco",Benedicto Cabrera,Ang Kiukok,Amorsolo is the master of Luminism and idealized rural life.,"BenCab is famous for his ""Sabel"" series, which focuses on fluid lines and the Filipino identity.",Botong Francisco is the premier muralist of Philippine history.,Ang Kiukok’s work is characterized by aggressive lines and a focus on the harsh realities of the human condition.,D
"45. If you are decorating a small bedroom with very little natural light, which value of paint would be most appropriate to make the space feel larger?",High-Value (Off-White or Soft Cream),Mid-Value (Forest Green),Low-Value (Dark Navy Blue),Neutral-Value (Charcoal Grey),"High-value (light) colors reflect the maximum amount of light, creating an illusion of open space.","Mid-values will neither significantly expand nor shrink the room, but in low light, they can look muddy."," Low-value (dark) colors absorb light, making a small, dim room feel ""caved in.""",Charcoal grey will absorb light and contribute to a gloomy atmosphere in a room with no natural light.,A
46. Which tool is used to keep the fabric stretched and taut while working on embroidery designs?,Embroidery,Crewel,Stiletto,Gauge,The embroidery hoop (or tambour) maintains fabric tension for even stitching.,"Crewel refers to a type of needle with a long eye, not a stretching tool.",A stiletto is a sharp-pointed tool used for poking holes or guiding thread.,"A gauge is used for measuring short distances, not for stretching fabric.",A 
"47. Why is the ""Bullion Stitch"" often categorized as one of the most advanced embroidery stitches?",It requires the use of two needles simultaneously.,It cannot be performed on woven fabrics.,"Bullion stitches can be made with various thread types, including stranded cotton.",It involves complex thread wrapping that must remain consistent in tension.,Only one needle is used for bullion stitches.,It is commonly used on woven fabrics for floral designs.,"Bullion stitches can be made with various thread types, including stranded cotton.","Tension is critical; inconsistent wrapping causes the ""caterpillar"" effect to look uneven.",D
48. You are preparing a crochet project using a very fine lace thread. Which hook material would be most appropriate to prevent the thread from slipping too easily?,Plastic,Bamboo,Steel,Aluminum,"Plastic hooks are usually for larger, bulky yarns and may not be manufactured in very fine sizes.",Bamboo hooks have a grip but are rarely thin enough for delicate lace work.,"Steel hooks (often called ""thread hooks"") are designed specifically for fine lace and crochet threads.",Aluminum hooks are standard for medium-weight yarns but are often too slippery and thick for lace.,B
"49. A smocking project requires the fabric to be gathered into tight, even pleats before decorative stitching. Which stitch is primarily used to secure these pleats in a wave or ""zig-zag"" pattern?",Cable stitch,Trellis stitch,Stem stitch,Honeycomb stitch,"Cable stitch creates a solid, rope-like line and is the most basic smocking stitch.",The Trellis stitch is a decorative smocking stitch that moves diagonally across pleats to form a characteristic wave or zig-zag pattern.,Stem stitch is used for outlines and lacks the elastic movement of trellis work.,"Honeycomb is a surface stitch that creates a diamond pattern but does not primarily create the ""wave"" movement.",B
50. Which species of rattan is characterized by its large diameter (above 2 cm) and is the primary choice for furniture framing and heavy structural craft?,Palasan,Limuran,Sika,Panlis,"Palasan is the most important commercial rattan in the Philippines, known for its large diameter and strength.",Limuran is a high-quality rattan but is generally second to Palasan for heavy structural framing.,Sika is a small-diameter rattan used for weaving and binding.,"Panlis is a very thin rattan used primarily for ""wrapping"" or finishing furniture joints.",A 
"51. In Abaca craft, the process of stripping is critical to fiber quality. What is the primary difference between Hand-stripped and Spindle-machine stripped fibers?",Color,Luster and fineness,Tensile strength,Water resistance,"Color is determined by the leaf sheath position (inner vs. outer), not the stripping method.","Hand-stripping produces finer, softer fibers (Sinamay grade), while machine stripping is faster but often produces coarser fibers.","Both methods maintain high tensile strength, which is inherent to the Musa textilis.",Water resistance is a biological property of abaca and is not altered by the stripping method.,B
"52. While creating an Origami crane, you are asked to perform a ""Reverse Fold."" What is the mechanical result of this action on the paper?",The paper is folded in half to create a mountain crease.,The paper is rolled into a cylindrical shape.,The crease is tucked inside the layers of the model.,The edges are trimmed to create a symmetrical square.,"A simple fold in half is a valley or mountain fold, not a reverse fold.","Rolling paper is a technique for quilling, not origami folding.",An inside or outside reverse fold involves changing the direction of the crease and tucking it within the model’s layers.,Origami traditionally forbids trimming or cutting the paper.,C
"53. If an embroiderer wants to create a 3D, raised texture for a flower petal, which stitch would be the most effective application?",Bullion Stitch,French Knot,Backstitch,Lazy Daisy,"Bullion stitches involve multiple wraps around a needle to create a raised, worm-like coil, perfect for 3D textures.","French knots create small dots, which are too small for an entire petal's structure.",Backstitch is a flat stitch used for outlines.,"Lazy daisy is a flat loop stitch, not inherently 3D or raised.",A 
"54. In Bamboo craft, why is it necessary to ""cure"" or treat the bamboo in a chemical solution (like Borax) or by smoking it before production?",To make the bamboo more flexible for bending.,To change the color of the bamboo to a darker brown.,To remove the natural starch that attracts powder-post beetles.,o increase the water content of the bamboo culm.,"Flexing is achieved through heat (blowtorch), not curing solutions.","Smoking may darken the bamboo, but the primary purpose is preservation, not coloration.",Curing is essential to remove or neutralize the starch/sugar that attracts wood-boring insects.,Curing aims to reduce moisture to prevent mold and cracking.,C
"55. When reading a crochet pattern, the instruction ""pull through 2 loops, yo, pull through 2 loops"" describes the completion of which stitch?",Single Crochet,Half Double Crochet,Double Crochet,Slip Stitch,Single crochet only requires pulling through two loops once.,Half double crochet involves pulling through all three loops on the hook at once.,"Double crochet is a ""two-step"" height stitch where you pull through two loops twice.",Slip stitch involves pulling the yarn directly through the loop on the hook without an extra yarn-over.,C
"56. Which fabric is considered the ""gold standard"" for smocking because its weave naturally allows for even pleating?",Denim,Gingham,Silk Shantung,Organza,Denim is too heavy and stiff for the fine gathering required in traditional smocking.,Gingham’s check pattern provides a natural grid that makes it easy to keep pleats and stitches perfectly aligned.,Silk Shantung has slubs (irregularities) that make even pleating difficult.,Organza is too sheer and slippery for beginners to manage the tension required in smocking.,B
"57. In Paper Craft, the term ""Papier-mâché"" literally translates to ""chewed paper."" Which additive is usually mixed with the paper pulp to ensure the final product is hard and durable?",Starch or Glue,Vinegar,Glycerin,Oil Paint,Starch or glue acts as the binding agent that hardens the paper fibers as they dry.,"Vinegar is sometimes added in small amounts to prevent mold, but it doesn't provide hardness.","Glycerin makes materials softer and more flexible, which is the opposite of the goal for papier-mâché.","Oil paint is a finishing medium, not a structural additive for the pulp.",A 
"58. A rattan craftsman uses a ""blowtorch"" during the production phase. What is the primary analytical reason for this step?",To burn off the hairs and outer skin of the rattan.,o kill any insects living inside the rattan core.,To dry the rattan quickly after it has been harvested.,To heat the internal resins of the rattan to allow for bending without breaking.,"This is called \scraping or singeing, but the torch’s main structural use is for bending.","Insect treatment is done via chemical ""pickling"" or smoking baths.",Rattan is air-dried or kiln-dried; a blowtorch would be too localized and aggressive for drying.,"Applying heat softens the fibers and resins, allowing the rattan to be bent into furniture shapes.",D
"59. In Embroidery, the Pounce"" method involves which specific combination of tools?",Needle and thread only,Pricked paper and charcoal powder,arbon paper and a stylus,Iron and heat-transfer paper,"This refers to the embroidery process itself, not the design transfer.","The design is pricked with holes, and charcoal or chalk powder (pounce) is rubbed through them.",This describes the tracing method.,This describes modern heat-transfer methods.,B
60. Which part of the Abaca plant yields the strongest and highest quality fiber?,The roots,The leaves,The middle leaf sheaths of the trunk,The outer leaf sheaths of the trunk,The roots do not contain extractable craft fibers.,The leaves are not the source; the fiber comes from the petiole.,"The middle sheaths produce the best balance of strength, length, and color for high-quality crafts.","The outer sheaths are the toughest and darkest, but often coarser.",C
61. Which of the following crochet hooks is the largest in diameter?,10.0 mm,3.5 mm,5.0 mm,2.5 mm,10.0 mm (Size N/P) is a jumbo hook used for bulky or T-shirt yarns.,3.5 mm is standard for DK-weight yarn.,5.0 mm is a medium/large hook for worsted weight.,2.5 mm is a fine hook for sport-weight yarn.,A 
"62. What is ""Pyrography"" in the context of Bamboo and Wood crafts?",The process of soaking bamboo in water.,The art of decorating wood/bamboo with burn marks from a heated tool.,The method of weaving bamboo strips into mats.,he chemical treatment used to prevent rot.,"This is ""leaching"" or water-curing.","Pyrography is ]fire-writing, using heat to create designs on the surface.","This is simply weaving or ""sawali making.","This is preservation or ""pickling.""",B
"63. Which paper type is best suited for ""Paper Quilling"" due to its ability to hold a coiled shape without tearing?",Tissue paper,Construction paper,Newsprint,cid-free quilling strips,Tissue paper is too thin and fragile to hold a coil.,"Construction paper is too fibrous and thick, leading to ""cracking"" when rolled tightly.","Newsprint becomes brittle and yellows quickly, making it unsuitable for decorative quilling.",Quilling strips are specifically weighted to be flexible enough to roll but stiff enough to hold the shape.,D
"64. In the Prick and Pounce embroidery transfer method, what tool is traditionally used to prick"" the design?",Pricker or fine needle,Thimble,Embroidery scissors,Stiletto,A fine needle or a specialized pricking tool is used to create the holes for the powder to pass through.,A thimble protects the finger during sewing.,"Scissors are for cutting thread, not for making tiny uniform holes in paper.","A stiletto makes holes in fabric for eyelets, which are too large for the pounce method on paper.",A 
"65. Evaluate the use of ""Bolo"" in bamboo craft. Which task is the Bolo most specifically suited for?",Intricate pyrography designs.,Final sanding and smoothing of the culm surface.,Splitting large bamboo culms into workable slats.,Measuring the distance between nodes.,Pyrography requires a heated electric tool or metal rod.,Sanding is done with sandpaper or a scraper.,The Bolo is a heavy-duty cutting tool essential for the primary processing and splitting of raw bamboo.,Measuring is done with a ruler or meter stick.,C
"66. Which of the following is a ""foundation stitch"" in crochet that is used to start almost every project?",Slip stitch,Chain stitch,Treble crochet,Popcorn stitch,"Slip stitch is used to join rows or move yarn, not typically as the primary foundation row.",The chain stitch forms the base row upon which all other stitches are built.,Treble crochet is a decorative height stitch.,Popcorn stitch is a textured cluster stitch.,B
"67. When analyzing Rattan, what is the Peel or Skin primarily used for?",Structural legs of chairs.,Fertilizer for the next crop,Filling the internal core of pillows.,Weaving the seats and backs of chairs.,"The ""pole"" or whole stem is used for structural legs.",Rattan peel is a valuable craft material and not used as agricultural fertilizer.,Rattan is too hard and sharp for pillow filling.,"The skin is stripped into thin ribbons for intricate ""wicker"" weaving.",D
"68. In Abaca production, what is Sinamay?",The raw sap of the abaca plant.,A type of abaca specifically used for making ropes.,"A stiff, loosely woven fabric made from abaca fibers.",The machine used to strip the fibers.,"Abaca sap is a waste product, not a craft material.","Rope is made from Manila Hemp (coarser abaca), not sinamay fabric.","Sinamay is the most famous textile produced from abaca, used in hats and gift wraps.",The machine is called a Hagotan or spindle stripper.,C
69. A student wants to make a paper sculpture that is lightweight but very strong. They choose to layer strips of paper soaked in adhesive over a balloon. What is this technique called?,Papier-mâché,Decoupage,Origami,Paper Quilling,"This describes the layered ""strip"" method of papier-mâché.",Decoupage is the art of decorating an object by gluing paper cutouts onto it.,Origami is folding only; it uses no glue or armatures.,Quilling involves rolling thin strips into coils.,A 
70. Which embroidery stitch is composed of two interlocking rows of slanted stitches and is often used for borders?,Stem stitch,Running stitch,Cross stitch,Herringbone stitch,"Stem stitch creates a rope-like line, not a crossed interlocking pattern.",Running stitch is a simple straight line of dashes.,"Cross stitch is an individual X shape, though it can be grouped in rows.","Herringbone stitch creates a crossed, textured border that looks like a spine.",D
"71. In Smocking, the Cable Stitch is considered inelastic. What does this mean for the design of the garment?",The garment will stretch easily when the wearer moves.,The smocking will hold the fabric firmly in place and limit its stretch.,The thread will break if the fabric is pulled.,The fabric will become waterproof.,Elastic stitches like the honeycomb allow for stretch.,"Inelastic stitches lock the pleats, providing structure but preventing the fabric from expanding.","Inelastic refers to the movement of the pleats, not the breaking point of the thread.",Smocking has no effect on the waterproof properties of fabric.,B
"72. Which of the following is a characteristic of ""Bambusa blumeana"" (Kawayan Tinik)?",It has a set of thorns at its base branches.,It is completely thornless.,It is the smallest bamboo in the Philippines.,It cannot be used for construction.,Kawayan Tinik is identified by the spiny/thorny branches at the lower part of the clump.,Tinik means thorn; this species is famous for them.,It is one of the larger and most useful construction bamboos.,It is the primary bamboo used for building traditional houses (Bahay Kubo).,A 
73. What happens if you use a crochet hook that is too small for a very thick yarn?,The project will be very loose and draped.,The yarn will split and break immediately.,The stitches will be extremely tight and the fabric will be stiff.,The hook will melt from friction.,Loose fabric results from a hook that is too large.,"Yarn splitting is usually a result of poor yarn quality or a sharp hook, not just size.","Small hooks create tight, dense, and rigid fabric when used with thick yarn.",Friction in crochet does not generate enough heat to melt hooks.,C
"74. In Paper Craft, GSM stands for Grams per Square Meter. How does GSM affect a paper craft project?",It determines the color of the paper.,It tells you the pH level of the paper.,It indicates how many sheets are in a pack.,It determines the weight and thickness of the paper.,Color is a chemical/dye property.,This refers to acid-free properties.,This is a ream or sheet count.,"Higher GSM means thicker, heavier paper (like cardstock), while lower GSM is thinner (like tissue).",D
"75. In Rattan craft, the process of Singeing is used to _________.",Bend the rattan into a circle.,Remove the fine hairs on the surface of the rattan.,Bleach the rattan to make it white.,Glue two pieces of rattan together.,"Bending is done through heating the core, not just singeing the surface.",Singeing involves passing the rattan over a flame quickly to burn off the tiny natural fuzz or hairs.,Bleaching involves chemicals like hydrogen peroxide.,"Rattan is joined with screws, nails, or weaving, not singeing.",B
