Question,A,B,C,D,Descripton A,Descripton B,Descripton C,Descripton D,Answer
What is the primary purpose of a placket?,To decorate the garment,To strengthen the fabric,To allow ease in wearing and removal,To shorten the garment,Function is more important than decoration.,"Interfacing strengthens fabric, not the placket itself.",Plackets allow the wearer to easily put on or remove the garment.,Plackets do not alter garment length.,C
A sewer wants to repair a small hole in a sock or fabric. Which type of stitch is commonly used for darning small holes?,Cross stitch,Running stitch,Zigzag stitch,Blanket stitch,"Cross stitch is decorative, not practical for mending.",Running stitches weave threads across a hole to repair fabric.,Zigzag is mainly used on machines to prevent fraying.,Blanket stitch is for edges and hems.,B
A designer wants to add fullness to a skirt so that it is distributed evenly across the garment. Which method introduces fullness evenly throughout a garment area?,Darts,Pleats,Gathers,Tucks,Darts remove excess fabric.,"Pleats add structured, controlled fullness.",Gathers distribute fullness evenly.,Tucks are decorative folds.,C
What is the main purpose of applying seam finishes to a garment?,To add fullness,To prevent raw edges from fraying ,To improve color appearance,To shorten the garment,"Fullness is added through gathers, pleats, or ruffles.",Seam finishes secure raw edges and prevent fraying.,Seam finishes do not affect fabric color. ,Garment length is adjusted through hemming.,B
Which hand stitch is considered the strongest and most durable for seams?,Back stitch ,Running stitch,Basting stitch,Slip stitch,"Back stitch produces strong, durable seams suitable for stress areas.",Running stitch is a simple and weaker stitch.,Basting stitch is temporary and not meant for durability.,Slip stitch is mainly used for invisible finishing.,A
Which body measurement is critical for setting sleeve length correctly?,Arm length,Neck circumference,Waist measurement,Bust measurement,Arm length ensures sleeves reach the desired position on the wrist or arm.,Neck circumference is for collars or neckline fit.,"Waist measurement affects garment width, not sleeve length.","Bust measurement affects chest fit, not sleeve length.",A
"A tailor is preparing to take measurements for a custom outfit. To ensure the measurements are accurate, when taking body measurements, the tape measure should be—",Very tight,Very loose,Hanging freely,Snug but not tight ,A tight tape results in garments that are too small.,A loose tape results in oversized garments.,A hanging tape leads to incorrect readings.,A snug tape ensures accurate measurements.,D
Which action helps prevent thread breakage while sewing?,Using old or bent needles,Ignoring lint buildup,Sewing on irregular fabric surfaces,Maintaining proper thread tension,Old or bent needles increase breakage.,Lint buildup can worsen thread problems.,"Irregular surfaces may cause uneven stitches, not prevent breakage.",Correct thread tension ensures smooth stitching without snapping.,D
Why are pins important in clothing construction?,They decorate the garment,They cut fabric evenly,They permanently replace stitches,They temporarily hold fabric pieces together before sewing ,Pins are not used for decoration.,Pins are not cutting tools. ,Pins do not replace permanent stitches.,Pins hold fabric pieces together temporarily before stitching.,D
Which type of clothing is MOST suitable for active teenagers?,Loose and comfortable casual wear,"Tight, formal attire only",Heavy wool clothing regardless of season,Delicate fabrics that require special care,Teenagers need clothing that allows movement and comfort for daily activities.,"Formal wear is situational, not for everyday wear.",Heavy fabrics may not suit activities or weather.,Delicate fabrics limit practicality for active teens.,A
Which of the following practices demonstrates sustainable fashion in daily life?,Frequent disposal of clothes,"Washing clothes in cold water, repairing, and reusing them",Buying large amounts of fast fashion,Using harsh chemicals for cleaning,Disposal increases waste.,"Cold washing, repairing, and reusing minimize environmental impact.",Fast fashion is unsustainable.,Harsh chemicals can harm the environment.,B
Why is clothing considered a form of non-verbal communication?,It replaces spoken language,"It communicates social status, beliefs, or identity",It is worn for physical comfort only,It has no meaning without words,Clothing complements but does not replace speech.,Clothing conveys messages about identity and social roles.,Clothing serves more than physical comfort.,Clothing carries meaning even without words.,B
How do social norms influence clothing choices?,They completely eliminate personal choice,They guide what is considered acceptable or appropriate to wear,They apply only to children,They affect clothing prices only,Personal choice still exists within norms.,Social norms influence appropriateness in dress.,Social norms apply to all age groups.,"Norms relate to behavior, not pricing.",B
Which function of clothing is related to protection from environmental conditions?,Aesthetic function,Psychological function,Protective function,Symbolic function,Aesthetic function focuses on beauty and appearance.,Psychological function relates to confidence and self-expression.,"Protective function involves shielding the body from heat, cold, and hazards.",Symbolic function conveys meaning or identity.,C
"Which term refers to the shared beliefs, customs, and traditions that influence clothing choices?",Fashion trend,Culture,Climate,Technology,Fashion trends change quickly and are not permanent beliefs.,"Culture includes shared values, customs, and traditions that influence dress.","Climate affects comfort, not beliefs or traditions.","Technology influences production, not cultural meaning.",B
Polyester belongs to which group of fabrics?,Natural fabrics,Regenerated fabrics,Synthetic fabrics,Blended fabrics,Polyester is not natural.,Regenerated fibers are derived from natural sources.,Polyester is fully synthetic.,A blended fabric contains two or more fibers.,C
Why are reinforced seams considered a sign of good clothing quality?,They make the garment heavier,They add decorative value only,They increase the garment’s durability,They make clothes cheaper,Weight is not the main purpose.,"Reinforcement is functional, not decorative.",Reinforced seams prevent tearing and damage.,Reinforcement may increase production cost.,C
What is the first step in wise buying?,Planning a budget and listing needs before shopping,Impulsive purchase of trendy items,Buying only luxury brands,Ignoring product quality,Planning a budget and listing needs ensures money is spent wisely and prevents unnecessary purchases.,Impulse buying often leads to overspending and unneeded purchases.,Luxury brands may not align with needs or budget.,Ignoring quality can result in short-lived purchases.,A
Which of the following is an example of clothing repair?,Adding embroidery to old jeans,Sewing a torn seam,Donating clothes to charity,Throwing away worn-out garments,"Embroidery is creative upcycling, not repair.",Repair involves fixing damage to extend garment life.,"Donation is sharing, not repairing.",Discarding does not repair anything.,B
